3214/12;BR-PRO-0240V;CATAS ALTAS DA NORUEGA
3187/12;BR-PRO-0241V;ARANTINA
3189/12;BR-PRO-0242V;ALMENARA
3205/12;BR-PRO-0243V;BAR«O DE COCAIS
3207/12;BR-PRO-0244V;CAETAN‡POLIS
3208/12;BR-PRO-0245V;CALDAS
3209/12;BR-PRO-0246V;CAPIT«O ENêAS
3210/12;BR-PRO-0247V;PATOS DE MINAS
3211/12;BR-PRO-0248V;MURIAê
3213/12;BR-PRO-0249V;CAPUTIRA
3186/12;BR-PRO-0250V;ANT‚NIO CARLOS
3185/12;BR-PRO-0251V;ALVARENGA
3184/12;BR-PRO-0252V;AIURUOCA
3183/12;BR-PRO-0253V;AGUAS FORMOSAS
