Instalação;"Nº de Incidentes";Incidentes
" SES-PIRA-3470 ";" 2 ";" 838, 919 "
" SES-COGO-0683 ";" 5 ";" 70, 81, 99, 415, 839 "
" HUB Prodemge ";" 14 ";" 31, 54, 55, 128, 142, 276, 277, 297, 337, 347, 517, 527, 840, 1039 "
" SES-SARO-3591 ";" 1 ";" 841 "
" SES-FOSO-0803 ";" 8 ";" 266, 319, 442, 714, 826, 842, 1062, 1100 "
" SES-DOIO-0861 ";" 11 ";" 758, 785, 794, 833, 843, 902, 965, 1027, 1056, 1077, 1154 "
" SES-PAMA-0737 ";" 5 ";" 44, 50, 317, 432, 844 "
" SES-COES-3497 ";" 2 ";" 845, 852 "
" SES-DOOS-3501 ";" 8 ";" 815, 825, 837, 846, 858, 878, 978, 1147 "
" SES-CLIO-0951 ";" 8 ";" 619, 630, 667, 676, 678, 692, 705, 847 "
" SES-SANO-3377 ";" 14 ";" 645, 718, 719, 774, 788, 848, 868, 897, 913, 957, 990, 1036, 1046, 1063 "
" SES-DETA-0686 ";" 9 ";" 315, 324, 395, 421, 535, 639, 684, 755, 849 "
" SES-CORA-0858 ";" 5 ";" 689, 738, 850, 891, 941 "
" SES-LACE-3456 ";" 2 ";" 851, 862 "
" SES-PASO-3484 ";" 1 ";" 853 "
" SES-SANO-0791 ";" 4 ";" 355, 654, 756, 854 "
" SES-MAAS-0727 ";" 7 ";" 17, 82, 163, 822, 855, 1131, 1151 "
" SES-PAAO-3373 ";" 1 ";" 856 "
" SES-PIRA-3459 ";" 5 ";" 823, 835, 857, 922, 1087 "
" SES-SEES-0793 ";" 3 ";" 859, 870, 1071 "
" SES-FOAS-0689 ";" 10 ";" 100, 107, 112, 113, 129, 169, 207, 227, 407, 860 "
" SES-COTA-0684 ";" 9 ";" 72, 263, 482, 576, 795, 861, 969, 1007, 1008 "
" SES-ANAS-0657 ";" 16 ";" 4, 9, 10, 15, 18, 57, 58, 522, 642, 704, 753, 863, 887, 940, 1112, 1211 "
