Instalação;"Nº de Incidentes";Incidentes
" SEE-BELO-22759 ";" 8 ";" 16428, 18878, 19787, 20194, 20709, 22139, 22438, 22566 "
" SEE-ITBI-22130 ";" 46 ";" 12603, 12614, 12773, 13035, 13386, 13472, 13589, 13676, 13695, 13738, 13764, 13921, 13955, 13979, 14049, 14194, 14683, 14696, 14765, 14820, 14925, 15023, 15178, 15415, 15562, 15706, 15877, 16116, 16306, 17051, 17236, 17397, 17632, 19889, 20313, 20331, 20343, 20407, 21117, 21287, 21721, 22140, 22679, 22838, 22858, 22953 "
" SEE-MAPO-23685 ";" 10 ";" 14160, 14175, 14410, 15842, 16768, 18906, 19736, 19968, 22141, 22197 "
" SEE-INIM-23150 ";" 15 ";" 12586, 13214, 13330, 13527, 14560, 14667, 15068, 16883, 17894, 18037, 19384, 20045, 21930, 22142, 22795 "
" SEE-CORO-22017 ";" 7 ";" 15290, 16522, 18621, 19244, 22062, 22143, 22628 "
" SEE-SACO-22232 ";" 6 ";" 16748, 18163, 18387, 19213, 19685, 22144 "
" SEE-ARAI-22755 ";" 10 ";" 13305, 14127, 14987, 16350, 18032, 18405, 19912, 21606, 22067, 22145 "
" SEE-GOEA-22312 ";" 15 ";" 12506, 13664, 14657, 15647, 15681, 15750, 16231, 16783, 17609, 17785, 17819, 19319, 20325, 21042, 22146 "
" SEE-MATA-22889 ";" 8 ";" 14777, 16184, 16579, 17295, 18689, 19886, 21750, 22147 "
" SEE-SERO-22051 ";" 7 ";" 15472, 16264, 16933, 18743, 19155, 21677, 22148 "
" SEE-MATA-22888 ";" 26 ";" 12925, 13685, 13692, 13713, 13718, 13725, 13735, 14571, 14759, 14775, 15346, 16142, 16156, 16193, 16838, 17430, 17442, 17453, 18739, 20094, 20582, 20632, 20902, 21354, 21504, 22149 "
" SEE-GOES-22805 ";" 7 ";" 16863, 17955, 18744, 19599, 20192, 22150, 22663 "
" SEE-DINA-22029 ";" 26 ";" 12678, 12886, 13192, 13310, 13709, 14141, 15253, 15493, 16006, 17068, 17141, 18028, 18029, 19054, 19204, 19418, 20316, 20673, 21094, 21123, 21947, 22009, 22151, 22422, 22580, 22847 "
" SEE-SACO-21970 ";" 10 ";" 14394, 16533, 17584, 18184, 18424, 19189, 20544, 22091, 22152, 22639 "
" SEE-DIRA-23188 ";" 7 ";" 14041, 16752, 18717, 19344, 19457, 22153, 22322 "
" SEE-ACNA-23176 ";" 7 ";" 17054, 18136, 18925, 19274, 19501, 22154, 22732 "
" SEE-VIPA-22797 ";" 10 ";" 14142, 16534, 17959, 18911, 19477, 20076, 20813, 22155, 22403, 22555 "
" SEE-AIES-23179 ";" 11 ";" 13152, 14180, 14485, 16971, 17818, 18534, 19141, 19677, 20962, 22156, 22658 "
" SEE-CAAI-22923 ";" 10 ";" 15933, 16441, 17650, 18360, 19459, 20081, 21955, 22157, 22409, 22740 "
