Instalação;"Nº de Incidentes";Incidentes
" SEE-MIAS-21927 ";" 34 ";" 12509, 12514, 13721, 14466, 14536, 14727, 15020, 15038, 15154, 15161, 15190, 15279, 15309, 15432, 15721, 15755, 15773, 16134, 16187, 17072, 17419, 17644, 17803, 18205, 18949, 19653, 19992, 20791, 21360, 21383, 21881, 21906, 22158, 22303 "
" SEE-TENI-22983 ";" 18 ";" 13820, 15131, 15170, 16814, 17713, 18157, 18981, 19550, 19882, 20320, 20974, 21070, 21071, 21329, 21416, 21545, 22159, 22824 "
" SEE-IPGA-22597 ";" 8 ";" 14048, 17003, 18399, 19855, 20405, 20651, 21497, 22160 "
" SEE-BELO-22762 ";" 9 ";" 16570, 18181, 18985, 19167, 19800, 21798, 22161, 22170, 22617 "
" SEE-IAPU-23138 ";" 17 ";" 12811, 13564, 13733, 14359, 14899, 14912, 14962, 14977, 15230, 16925, 18784, 19183, 19683, 20848, 21827, 21951, 22162 "
" SEE-JAIA-21957 ";" 30 ";" 12826, 13242, 13657, 13663, 13665, 13667, 13670, 13673, 13723, 13727, 13729, 13739, 13749, 13752, 13757, 13798, 13897, 16369, 18173, 18695, 19064, 19699, 20055, 20294, 20413, 20745, 21250, 21331, 21655, 22163 "
" SEE-SACO-22222 ";" 12 ";" 12938, 15440, 16380, 18955, 19409, 19804, 20012, 22164, 22430, 22875, 22910, 22956 "
" SEE-DINA-22025 ";" 17 ";" 12792, 13044, 14712, 14809, 15550, 16901, 17205, 17278, 17633, 17781, 17782, 17784, 18737, 19285, 20856, 21570, 22165 "
" SEE-MOOS-22735 ";" 7 ";" 14100, 16555, 18683, 19366, 19490, 21944, 22166 "
" SEE-CADE-23181 ";" 18 ";" 13144, 14432, 14470, 14660, 15987, 16144, 16487, 17455, 18183, 19668, 20242, 21079, 21710, 21883, 21923, 22167, 22452, 22488 "
" SEE-TUGA-23214 ";" 6 ";" 12798, 13809, 16712, 20932, 22168, 22817 "
" SEE-SATE-23161 ";" 11 ";" 13186, 14891, 15677, 16483, 18556, 19700, 19933, 20629, 20920, 22051, 22169 "
" SEE-IBTU-22121 ";" 9 ";" 15950, 15981, 16024, 16856, 17872, 18797, 19370, 21337, 22171 "
" SEE-SACO-22218 ";" 9 ";" 13023, 14506, 14521, 14627, 16374, 17977, 19121, 20888, 22172 "
" SEE-MOOS-22742 ";" 8 ";" 14270, 16473, 18578, 19228, 20680, 20983, 21091, 22173 "
" SEE-MIAS-22039 ";" 12 ";" 14324, 15448, 15945, 16902, 17925, 18944, 19158, 19566, 20940, 21507, 22174, 22265 "
" SEE-FEOS-23783 ";" 10 ";" 13252, 13896, 16981, 17629, 18656, 19584, 20273, 21976, 22175, 22640 "
" SEE-LAHA-22933 ";" 35 ";" 12947, 13342, 13464, 14238, 14362, 14463, 14647, 14853, 15039, 15042, 15077, 15690, 16147, 16174, 17042, 17132, 17386, 17653, 17657, 18135, 18266, 18291, 18311, 18312, 18313, 18314, 18315, 18316, 20095, 20649, 20871, 21407, 21713, 22176, 22748 "
" SEE-POES-22957 ";" 7 ";" 21174, 21401, 21411, 21887, 22110, 22177, 22218 "
" SEE-UBAI-22281 ";" 13 ";" 15468, 15645, 15714, 16879, 17475, 17708, 17721, 17741, 18308, 19877, 21426, 22178, 22723 "
" SEE-JAIA-21959 ";" 11 ";" 13203, 15246, 16436, 17673, 18826, 19403, 19990, 20982, 22038, 22179, 22332 "
" SEE-RETO-23687 ";" 47 ";" 12560, 12755, 12836, 12838, 12918, 13315, 13813, 13905, 14841, 15034, 15191, 15311, 15352, 15435, 15580, 15729, 15856, 15891, 15965, 16133, 17116, 17178, 17183, 18615, 19171, 19464, 20366, 20446, 20595, 21044, 21081, 21084, 21103, 21223, 21328, 21410, 21731, 21889, 21954, 21984, 22097, 22180, 22394, 22469, 22659, 22834, 22867 "
" SEE-MOOS-22733 ";" 17 ";" 13370, 14178, 15188, 16502, 18500, 19255, 19808, 20393, 21464, 22181, 22463, 22484, 22664, 22852, 22870, 22890, 22916 "
" SEE-UNAS-22827 ";" 20 ";" 12594, 12906, 14416, 14688, 14695, 14855, 17119, 18195, 20404, 20548, 21138, 21353, 21415, 21734, 21932, 21965, 22008, 22182, 22325, 22548 "
" SEE-MACU-23679 ";" 13 ";" 12988, 12995, 13003, 13234, 16873, 18498, 19746, 19852, 20518, 21013, 21662, 22183, 22767 "
" SEE-GLIA-23696 ";" 8 ";" 13875, 14633, 16181, 16224, 16794, 19339, 22184, 22696 "
" SEE-RIAS-22555 ";" 18 ";" 12787, 12869, 12879, 12976, 13245, 16404, 16405, 17162, 17194, 17788, 17791, 17983, 18727, 19369, 20875, 21952, 22185, 22362 "
" SEE-LUGO-23663 ";" 14 ";" 12734, 12790, 13248, 15596, 15639, 16726, 17312, 18927, 19796, 20063, 21087, 22186, 22506, 22745 "
" SEE-SATA-23797 ";" 13 ";" 13087, 15407, 16281, 16897, 17207, 17282, 17859, 18060, 18804, 20214, 20664, 20943, 22187 "
" SEE-SACO-22227 ";" 7 ";" 13155, 17053, 18442, 19099, 19224, 21016, 22188 "
" SEE-SADA-23691 ";" 7 ";" 16460, 18175, 18471, 19534, 20038, 20908, 22189 "
" SEE-INIM-23147 ";" 36 ";" 12574, 12589, 12595, 12757, 13246, 13784, 13989, 14054, 14205, 14315, 14332, 14476, 14587, 14593, 14596, 14714, 14827, 14859, 14866, 14951, 15053, 15308, 15569, 16767, 17992, 19151, 20390, 21082, 21100, 21104, 21112, 21271, 21715, 21741, 22190, 22895 "
" SEE-JABA-22531 ";" 6 ";" 14077, 16296, 18414, 20023, 21540, 22191 "
" SEE-GAHA-22113 ";" 7 ";" 13557, 14629, 16295, 18151, 19290, 19500, 22192 "
" SEE-CHTE-22765 ";" 13 ";" 13102, 13816, 15758, 16536, 17875, 17877, 18565, 19660, 20145, 20977, 21402, 22193, 22372 "
" SEE-CULO-21916 ";" 11 ";" 13889, 14308, 14543, 16447, 18756, 19407, 20205, 20587, 20862, 22194, 22331 "
" SEE-PONE-23158 ";" 17 ";" 12804, 12991, 13272, 14101, 15555, 15630, 16007, 16846, 17806, 18191, 18901, 19507, 19997, 20900, 21708, 22195, 22591 "
" SEE-MANA-23198 ";" 6 ";" 12982, 13071, 16582, 18558, 19335, 22196 "
" SEE-CAEU-22898 ";" 7 ";" 16892, 18745, 19557, 19994, 20754, 21736, 22198 "
" SEE-REOR-23203 ";" 9 ";" 13260, 13468, 14483, 16545, 17070, 17588, 19376, 22199, 22553 "
" SEE-PAEM-23790 ";" 8 ";" 12950, 15420, 16837, 18639, 19353, 19522, 22200, 22606 "
" SEE-SAIO-23210 ";" 14 ";" 13209, 13849, 13869, 14985, 15163, 15774, 17048, 17761, 18853, 19175, 20792, 22201, 22252, 22720 "
" SEE-SATE-23162 ";" 38 ";" 12576, 12910, 13351, 13586, 13769, 13975, 14203, 14858, 14898, 14976, 15062, 15148, 15201, 15322, 15442, 15893, 15982, 16153, 17128, 17254, 17275, 17421, 17664, 17845, 18288, 18896, 19567, 20148, 20368, 20581, 20726, 21085, 21236, 22202, 22467, 22758, 22833, 22885 "
" SEE-CAGA-23368 ";" 14 ";" 13043, 15523, 16512, 16827, 19187, 19626, 20810, 21137, 21268, 21348, 21420, 21739, 22203, 22356 "
" SEE-LIMO-23399 ";" 10 ";" 13753, 13939, 14677, 15247, 16928, 17838, 18176, 21384, 21894, 22204 "
" SEE-TENI-22982 ";" 9 ";" 12802, 13045, 16813, 17707, 18778, 19695, 19958, 21729, 22205 "
" SEE-NORO-22939 ";" 15 ";" 13105, 14073, 14365, 14743, 14778, 16255, 16810, 18632, 19334, 19554, 19743, 21365, 21896, 22014, 22206 "
" SEE-COUS-23004 ";" 6 ";" 16335, 18154, 18877, 19452, 20249, 22207 "
" SEE-ARAI-22750 ";" 13 ";" 13094, 13760, 15943, 16237, 16427, 17329, 17445, 18113, 18733, 19598, 19867, 21744, 22208 "
" SEE-SATO-23209 ";" 7 ";" 13084, 16690, 18760, 19333, 19680, 21404, 22209 "
" SEE-ITRA-23703 ";" 7 ";" 13876, 15717, 16866, 18468, 19268, 22210, 22829 "
" SEE-CHTE-22771 ";" 11 ";" 12533, 15731, 15811, 17220, 17836, 18682, 19620, 20201, 21067, 21778, 22211 "
" SEE-JAIA-21955 ";" 8 ";" 13247, 15516, 16464, 17310, 18071, 18548, 20168, 22212 "
" SEE-SASO-22584 ";" 4 ";" 17743, 20503, 22213, 22709 "
" SEE-SACO-22216 ";" 9 ";" 12637, 15347, 16667, 18086, 18908, 19527, 20113, 20740, 22214 "
" SEE-CORO-22012 ";" 19 ";" 12523, 13221, 13439, 13532, 13540, 14350, 14990, 15530, 15554, 15683, 16877, 18824, 19379, 19609, 20976, 21259, 22022, 22215, 22530 "
" SEE-PEUZ-21969 ";" 5 ";" 12736, 15992, 16283, 21513, 22216 "
" SEE-SAES-22252 ";" 5 ";" 17026, 18148, 18719, 19989, 22217 "
" SEE-PEUL-23126 ";" 8 ";" 14040, 16674, 18634, 19516, 19910, 20766, 21900, 22219 "
" SEE-SACO-21971 ";" 13 ";" 13131, 14525, 14598, 16620, 17522, 18009, 18452, 19033, 19811, 20182, 20921, 22220, 22861 "
" SEE-FRSA-23563 ";" 13 ";" 13207, 13616, 14062, 14659, 15790, 16826, 18108, 19190, 19397, 22221, 22462, 22719, 22931 "
" SEE-FRSA-23569 ";" 9 ";" 16804, 18101, 18741, 19721, 20175, 20671, 20916, 21592, 22222 "
" SEE-MIAS-21930 ";" 13 ";" 14325, 15209, 15404, 15646, 16372, 17396, 18119, 18394, 20101, 21687, 22223, 22517, 22801 "
" SEE-JAIA-22159 ";" 12 ";" 13033, 13988, 14469, 14840, 17032, 18242, 18635, 20167, 21903, 22108, 22224, 22830 "
" SEE-SATO-23132 ";" 11 ";" 13132, 16704, 17447, 17521, 17533, 18670, 19646, 20150, 20563, 21254, 22225 "
" SEE-SAAS-22067 ";" 9 ";" 13127, 14102, 16541, 18753, 20080, 20918, 21315, 22226, 22558 "
" SEE-SATE-23355 ";" 9 ";" 13041, 13294, 16247, 16961, 17820, 18690, 19891, 20749, 22227 "
" SEE-MOUL-22541 ";" 7 ";" 16719, 18371, 19039, 19168, 19395, 21009, 22228 "
" SEE-CAGA-23372 ";" 14 ";" 13329, 13968, 14604, 14979, 15310, 15449, 17013, 20085, 20442, 20534, 21533, 21993, 22229, 22714 "
" SEE-TENI-22985 ";" 21 ";" 12617, 13120, 14036, 14239, 14650, 14854, 14874, 15056, 15078, 16092, 16171, 16742, 16998, 17391, 17658, 17800, 19113, 19806, 21685, 22050, 22230 "
" SEE-SEHA-22973 ";" 2 ";" 21188, 22231 "
" SEE-FRRO-22775 ";" 4 ";" 16730, 18647, 20163, 22232 "
" SEE-NIRA-22785 ";" 8 ";" 15746, 16368, 18837, 19671, 19839, 20914, 21825, 22233 "
" SEE-LACE-22081 ";" 10 ";" 12803, 12831, 14351, 16723, 17367, 17470, 18494, 19893, 21837, 22234 "
" SEE-SAAS-22963 ";" 8 ";" 13953, 13965, 17008, 17358, 18539, 19843, 21597, 22235 "
" SEE-VAIA-22304 ";" 10 ";" 12582, 13416, 14517, 15048, 15151, 16829, 18147, 20722, 22040, 22236 "
" SEE-ICAS-22126 ";" 25 ";" 13484, 15046, 15130, 15464, 17085, 17169, 17170, 17171, 17172, 17173, 17174, 17175, 17176, 17177, 17541, 17771, 17856, 18225, 19727, 20227, 20735, 21157, 22000, 22098, 22237 "
" SEE-MAGA-22171 ";" 8 ";" 13578, 16573, 17317, 18395, 19495, 20235, 22238, 22862 "
" SEE-GOES-22800 ";" 11 ";" 14013, 14354, 14505, 15551, 16758, 17853, 18538, 19965, 20787, 21048, 22239 "
" SEE-JEAS-22781 ";" 7 ";" 13579, 14299, 14377, 14473, 14602, 17118, 22240 "
" SEE-FRRO-22774 ";" 6 ";" 13199, 16488, 18666, 19325, 19518, 22241 "
" SEE-JABA-22528 ";" 8 ";" 13107, 16182, 16535, 18406, 19480, 20250, 20954, 22242 "
" SEE-MOOS-22732 ";" 9 ";" 12689, 15221, 15277, 16696, 18915, 19232, 19530, 20498, 22243 "
" SEE-ARAI-22749 ";" 14 ";" 13134, 13517, 14504, 15384, 15482, 16855, 17328, 18102, 18827, 19715, 19967, 20903, 21330, 22244 "
" SEE-COHO-22119 ";" 4 ";" 16519, 18401, 20199, 22245 "
" SEE-MOIA-22191 ";" 5 ";" 16642, 18367, 19289, 21832, 22246 "
" SEE-TENI-22989 ";" 19 ";" 13220, 13343, 13731, 14240, 14648, 15076, 15594, 16660, 17078, 17382, 17422, 17656, 19235, 19478, 20874, 21075, 21282, 21737, 22247 "
" SEE-BOAS-22104 ";" 13 ";" 13142, 16246, 16736, 17507, 17631, 17697, 18206, 18967, 19601, 20216, 22057, 22066, 22248 "
" SEE-SAAO-22070 ";" 5 ";" 16467, 18460, 20090, 21852, 22249 "
" SEE-INRA-22777 ";" 10 ";" 13321, 13322, 16506, 18120, 18684, 19233, 19625, 20661, 22250, 22677 "
" SEE-BOAS-22103 ";" 28 ";" 13015, 13288, 13506, 13567, 13572, 14172, 14870, 15255, 15385, 15454, 15455, 15481, 16050, 16121, 17101, 17315, 17717, 17751, 17886, 18123, 18267, 18274, 18673, 19206, 20482, 20681, 20929, 22251 "
" SEE-GAAS-22526 ";" 18 ";" 14510, 14909, 15276, 15730, 15907, 15975, 16145, 17125, 17283, 17324, 18759, 19040, 19595, 20171, 20525, 21336, 22253, 22487 "
" SEE-RIAS-22553 ";" 11 ";" 12878, 12951, 14182, 14223, 16940, 17189, 18854, 19995, 20759, 21498, 22254 "
" SEE-PONE-23157 ";" 15 ";" 13128, 14166, 15629, 16008, 16122, 17030, 17805, 17811, 18198, 18572, 19298, 20825, 21963, 22044, 22255 "
" SEE-MAGA-22174 ";" 6 ";" 16239, 16686, 18780, 19276, 19647, 22256 "
" SEE-JAIA-22139 ";" 12 ";" 12955, 13486, 13490, 13505, 15680, 16371, 18499, 19865, 20630, 20998, 21393, 22257 "
" SEE-CORO-22010 ";" 10 ";" 15235, 15285, 16763, 17612, 18696, 19209, 20783, 22258, 22793, 22922 "
" SEE-DINA-22030 ";" 7 ";" 13256, 14926, 16280, 16532, 18364, 20202, 22259 "
" SEE-LAHA-23660 ";" 11 ";" 12545, 13130, 15778, 16339, 17477, 18185, 18667, 19885, 20896, 22260, 22816 "
" SEE-COTO-21915 ";" 9 ";" 13887, 14306, 14542, 16716, 18774, 19890, 20750, 22261, 22578 "
" SEE-URIA-22287 ";" 5 ";" 16544, 18384, 19383, 20802, 22262 "
" SEE-JAIA-22162 ";" 11 ";" 15009, 15406, 15710, 16399, 17765, 18957, 19917, 20738, 22039, 22065, 22263 "
" SEE-SAES-22276 ";" 4 ";" 14406, 14565, 20354, 22264 "
" SEE-TENI-22979 ";" 8 ";" 13039, 16406, 18435, 19510, 20084, 20729, 21728, 22266 "
" SEE-JAIA-21954 ";" 6 ";" 16708, 17929, 18596, 19182, 19514, 22267 "
" SEE-SOES-22248 ";" 7 ";" 15176, 17091, 18201, 18607, 19391, 20159, 22268 "
" SEE-JACU-22598 ";" 9 ";" 13012, 14265, 15930, 16433, 17380, 18674, 19352, 21949, 22269 "
" SEE-BRAS-22593 ";" 2 ";" 16841, 22270 "
" SEE-SAIS-22387 ";" 8 ";" 13546, 13702, 15400, 16638, 18056, 18789, 19176, 22271 "
" SEE-MOSO-22903 ";" 8 ";" 16963, 17866, 18299, 18785, 19782, 19915, 21689, 22272 "
" SEE-NORO-22945 ";" 11 ";" 12788, 13336, 14060, 16514, 18076, 18895, 19287, 20748, 21576, 22273, 22753 "
" SEE-SAES-22264 ";" 9 ";" 12709, 16525, 16950, 17458, 18411, 19853, 20646, 22274, 22648 "
" SEE-RIAS-22565 ";" 14 ";" 12882, 13190, 14106, 15840, 16713, 17190, 17427, 17540, 17763, 18963, 19655, 20066, 20719, 22275 "
" SEE-PEUL-23124 ";" 9 ";" 14736, 15198, 16435, 17496, 18661, 19431, 20196, 21899, 22276 "
" SEE-BRAS-23223 ";" 8 ";" 16595, 17766, 18019, 18265, 18989, 19221, 20937, 22277 "
" SEE-SACO-22223 ";" 34 ";" 13270, 13391, 13420, 13426, 13429, 13435, 13449, 13453, 13457, 13467, 13479, 13489, 13492, 13494, 13502, 13507, 13516, 13519, 13535, 13541, 13551, 13559, 16932, 18732, 20052, 20736, 21356, 22058, 22278, 22551, 22882, 22930, 22936, 22971 "
" SEE-RIAS-22554 ";" 10 ";" 12866, 12873, 16091, 16967, 17195, 18898, 19429, 19880, 20298, 22279 "
" SEE-MOOS-22730 ";" 7 ";" 13696, 14781, 16370, 17760, 17799, 17948, 22280 "
" SEE-SACO-22231 ";" 6 ";" 16700, 18662, 19123, 20510, 20684, 22281 "
" SEE-GOES-22811 ";" 38 ";" 12814, 12821, 14148, 14153, 14184, 14186, 14187, 14189, 14384, 14387, 14389, 14395, 14396, 14399, 14404, 14411, 14412, 14415, 14418, 16898, 17261, 17326, 17694, 18045, 18323, 19004, 19007, 19009, 19010, 19015, 19017, 19023, 19027, 19031, 19057, 20842, 22282, 22688 "
" SEE-COCI-23186 ";" 10 ";" 13812, 15177, 16953, 17655, 18199, 18703, 19441, 19956, 21829, 22283 "
" SEE-JACA-23220 ";" 27 ";" 12746, 12799, 12801, 13116, 13925, 14155, 14213, 14218, 14346, 14935, 15155, 15156, 15199, 15689, 15850, 15899, 15983, 17058, 17122, 17319, 17614, 18030, 18031, 18557, 19861, 20526, 22284 "
" SEE-MACU-23666 ";" 9 ";" 16551, 17137, 18252, 18383, 19631, 20290, 20946, 22285, 22589 "
" SEE-INIM-23153 ";" 13 ";" 14913, 14915, 14927, 16639, 17213, 18193, 18650, 19405, 20026, 20989, 21355, 21538, 22286 "
" SEE-BURO-22058 ";" 65 ";" 13095, 13380, 13488, 14360, 14373, 14380, 14390, 14393, 14417, 14491, 14500, 14501, 14527, 14570, 14572, 14581, 14586, 14599, 14600, 14941, 14998, 15008, 15093, 15216, 15237, 15256, 15257, 15258, 15259, 15260, 15261, 15263, 15332, 15366, 15789, 16152, 16157, 16183, 16197, 16199, 16200, 16209, 16217, 16222, 16228, 17138, 17168, 18040, 19764, 19834, 19869, 19919, 20049, 20295, 20296, 20297, 20303, 20305, 20310, 20385, 20387, 20394, 20861, 22287, 22687 "
" SEE-ICAS-22124 ";" 24 ";" 12965, 14441, 15135, 15453, 15560, 15699, 16982, 17182, 17184, 17187, 17208, 17211, 17217, 17223, 17224, 17225, 17689, 17855, 18218, 19127, 21158, 21499, 22288, 22675 "
" SEE-PIUA-23382 ";" 12 ";" 13249, 14407, 17036, 17490, 18328, 18974, 19108, 19573, 20535, 20793, 22289, 22721 "
" SEE-RETO-23686 ";" 4 ";" 17079, 18833, 20226, 22290 "
" SEE-COCI-23184 ";" 7 ";" 16705, 17995, 18787, 19850, 20318, 21766, 22291 "
" SEE-CRTA-22928 ";" 9 ";" 13091, 13978, 14303, 16957, 18966, 19725, 19859, 21738, 22292 "
" SEE-BOAS-21952 ";" 12 ";" 13198, 15854, 15858, 16526, 17757, 18694, 19740, 20124, 20329, 20499, 21953, 22293 "
" SEE-TENI-22986 ";" 4 ";" 15351, 21991, 22294, 22711 "
" SEE-MOOS-22741 ";" 8 ";" 15223, 16125, 16737, 17748, 18735, 20120, 20789, 22295 "
" SEE-INRA-22778 ";" 6 ";" 12526, 14083, 16684, 18838, 19305, 22296 "
" SEE-MOIA-22190 ";" 7 ";" 14831, 16484, 17440, 17622, 18475, 19309, 22297 "
" SEE-CHHA-22114 ";" 10 ";" 12813, 13051, 13575, 13577, 14096, 17063, 18810, 19318, 20826, 22298 "
" SEE-SAES-22256 ";" 6 ";" 16318, 18669, 19998, 20531, 21575, 22299 "
" SEE-CORO-22013 ";" 9 ";" 14512, 15284, 16278, 16457, 18466, 20041, 20743, 21751, 22300 "
" SEE-GOES-22809 ";" 8 ";" 14251, 16530, 17667, 17670, 18716, 19240, 20812, 22301 "
" SEE-COHO-22906 ";" 12 ";" 12763, 12770, 12840, 14088, 17089, 17871, 18940, 19639, 19904, 20992, 21521, 22302 "
" SEE-MOOS-22746 ";" 10 ";" 13947, 14280, 16086, 16782, 17499, 17982, 19731, 20217, 21375, 22304 "
" SEE-SAOR-22269 ";" 8 ";" 14090, 14437, 14451, 16511, 18430, 19267, 20487, 22305 "
" SEE-JUIA-22168 ";" 5 ";" 16574, 18752, 19312, 19633, 22306 "
" SEE-GOES-22808 ";" 5 ";" 16515, 18686, 19618, 20282, 22307 "
" SEE-TAAS-22793 ";" 7 ";" 14029, 16324, 17010, 18409, 19103, 19440, 22308 "
" SEE-SACO-22592 ";" 14 ";" 12996, 13037, 13332, 15494, 15929, 16847, 17398, 17505, 18122, 18809, 19283, 20693, 21821, 22309 "
" SEE-ITMI-23195 ";" 9 ";" 13263, 14662, 15411, 16728, 18139, 19872, 20352, 22310, 22798 "
" SEE-CURO-22899 ";" 9 ";" 16836, 18770, 19410, 20275, 21588, 22096, 22311, 22516, 22717 "
" SEE-GOES-22812 ";" 7 ";" 16361, 18532, 19301, 19693, 20359, 20857, 22312 "
" SEE-SEAS-22570 ";" 8 ";" 15903, 16394, 18638, 19313, 19662, 20803, 21810, 22313 "
" SEE-OUAS-22822 ";" 10 ";" 14655, 16307, 16703, 16921, 17710, 17922, 19248, 21444, 22041, 22314 "
" SEE-ITRA-23784 ";" 6 ";" 13082, 17043, 18609, 19696, 20212, 22315 "
" SEE-SAAS-22791 ";" 7 ";" 12621, 16683, 18616, 19217, 19709, 20675, 22316 "
" SEE-MIIA-22181 ";" 8 ";" 13653, 15640, 16286, 16990, 18549, 19192, 19498, 22317 "
" SEE-LAHA-23659 ";" 4 ";" 15470, 16269, 16791, 22318 "
" SEE-MIAS-21925 ";" 10 ";" 12786, 13893, 13911, 13912, 17071, 18400, 19109, 19701, 22319, 22565 "
" SEE-SAES-22255 ";" 17 ";" 13269, 13853, 13969, 14039, 14338, 14442, 14792, 17034, 17678, 17684, 18873, 19338, 19742, 20416, 21162, 21835, 22320 "
" SEE-MACU-23678 ";" 7 ";" 16080, 16442, 18379, 19650, 19924, 22055, 22321 "
" SEE-JABA-22532 ";" 8 ";" 13191, 16440, 17934, 18788, 19052, 19415, 20033, 22323 "
" SEE-COTE-22019 ";" 12 ";" 12927, 14024, 14992, 15241, 16331, 17970, 18365, 19365, 19389, 21240, 21999, 22324 "
" SEE-SAAS-22787 ";" 5 ";" 16753, 18636, 19401, 19846, 22326 "
" SEE-MOIA-22187 ";" 8 ";" 14605, 16578, 18115, 18861, 19253, 19487, 20845, 22327 "
" SEE-TENI-22987 ";" 9 ";" 13529, 13635, 14645, 14762, 15331, 19594, 20035, 21242, 22328 "
" SEE-ALBA-23654 ";" 8 ";" 12810, 16262, 17394, 18884, 19629, 20053, 20699, 22329 "
" SEE-NORO-22940 ";" 11 ";" 14095, 16616, 18200, 18786, 19256, 19542, 20477, 21696, 22330, 22491, 22641 "
" SEE-SAES-22279 ";" 14 ";" 14056, 14959, 15091, 15222, 17200, 17372, 17677, 18046, 18728, 19246, 21145, 22333, 22448, 22593 "
" SEE-BRAS-23231 ";" 11 ";" 13092, 16462, 17719, 17735, 18150, 18264, 18278, 18687, 19134, 19586, 22334 "
" SEE-BOAS-22102 ";" 8 ";" 12931, 16352, 18042, 18353, 19759, 19935, 20881, 22335 "
" SEE-COHO-22117 ";" 22 ";" 12819, 13859, 13903, 13981, 14236, 14278, 15657, 15990, 15994, 16068, 16240, 16808, 17908, 18818, 19938, 21159, 21320, 22047, 22336, 22561, 22846, 22963 "
" SEE-SASO-22589 ";" 14 ";" 12977, 15542, 16895, 17769, 17916, 18849, 19245, 20704, 21057, 21332, 21867, 22337, 22481, 22759 "
" SEE-SEES-22966 ";" 12 ";" 13624, 14035, 15330, 15803, 16584, 17705, 17767, 18627, 19922, 20715, 21536, 22338 "
" SEE-BOAS-22106 ";" 19 ";" 13178, 13514, 14173, 14272, 14274, 14290, 14291, 14294, 14729, 14914, 15333, 15828, 16049, 16604, 17937, 18795, 19210, 21824, 22339 "
" SEE-SAIA-21867 ";" 13 ";" 12507, 12812, 13063, 13881, 14300, 14495, 14539, 16698, 18920, 20088, 20985, 21492, 22340 "
" SEE-RIAS_22561 ";" 11 ";" 13259, 13286, 13345, 16543, 18919, 19314, 19649, 20721, 22341, 22743, 22886 "
" SEE-ALAS-22092 ";" 9 ";" 16956, 18374, 19805, 19980, 20323, 21018, 21931, 22342, 22560 "
" SEE-PEUZ-22196 ";" 7 ";" 18462, 19037, 19361, 20713, 21524, 22134, 22343 "
" SEE-DINA-22023 ";" 7 ";" 15153, 16968, 18553, 19321, 20780, 21818, 22344 "
" SEE-POTE-22890 ";" 10 ";" 16481, 16986, 17895, 18121, 18542, 19423, 19932, 20773, 21234, 22345 "
