NOME DA VSAT;BUC;LATITUDE;;;LONGITUDE;;;Antena marca/nœmero de s?rie;CEP;End. do Acesso;;CIDADE;BAIRRO
SES-COUS-0895;Satlink 4033;16;41;14;44;21;28;skyware;39340000;Rua Nozinho Prates;1011;CORA?€O DE JESUS;Sagrada Fam­lia
SES-TRAS-0808;;;;;;;;;;;;;
SES-UMBA-0800;;;;;;;;;;;;;
SES-VAHA-0924;;;;;;;;;;;;;
SES-VIAS-0799;;;;;;;;;;;;;
