Nome;"Latitude Graus";"Latitude Minutos";"Latitude Segundos";"Longitude Graus";"Longitude Minutos";"Longitude Segundos";"Marca Antena";CEP;Endereco;Numero;Bairro;Cidade;ODU;BUC;"Marca Antena";Empresa
SES-ITTE-5750;22;17;45;44;51;70;skyware;37466-000;" Rua Custório Francisco da Rocha";" 57 ";" Bairro Berta";ITAMONTE;"SL 4033";;;"SH Sat"
SES-ITTE-6308;22;16;97;44;52;05;skyware;37466-000;" Rua Antônio Ribeiro Couto";" 44 ";" Bairro Vila Santos";ITAMONTE;"SL 4033";;;"SH Sat"
SES-ITDU-5711;22;17;20;44;59;78;skyware;37464-000;"Estrada do Condado - Bairro Condado";;;ITANHANDU;"SL 4035";;;"SH Sat"
SES-ITDU-5714;22;17;90;44;56;53;skyware;37464-000;" Av.Ary Carneiro ";"S/N ";" Bairro Vila Maria";ITANHANDU;"SL 4035";;;"SH Sat"
SES-ITDU-5732;22;18;37;44;55;88;skyware;37464-000;"Antônio Pereira Leite";" 256 ";" Bairro Renne Charlier";ITANHANDU;"SL 4035";;;"SH Sat"
SES-ITDU-5733;22;17;32;44;56;25;skyware;37464-000;" Dr. Paiva";" 125 ";" Bairro Nossa Senhora de Fátima";ITANHANDU;"SL 4035";;;"SH Sat"
SES-ITDU-5734;22;18;10;44;55;83;skyware;37464-000;" Neusa Fonseca Monteiro";" 06 ";" Bairro Portal";ITANHANDU;"SL 4035";;;"SH Sat"
SES-ITDU-5735;22;17;34;44;56;09;skyware;37464-000;" Praça Irmã Carvalho";" 20 ";" Bairro Centro";ITANHANDU;"SL 4035";;;"SH Sat"
SES-JAAS-5987;19;31;33;43;44;82;skyware;35830-000;" Rua Eduardo Goes nº 305. - Bairro Centro";;;JABOTICATUBAS;"SL 4033";;;Lider
SES-JAAS-5988;19;29;97;43;49;93;skyware;35830-000;" Rua das Rosas nº 287. - Bairro das Flores. Distrito de São José de Almeida";;;JABOTICATUBAS;"SL 4033";;;Lider
SES-JAAS-5989;19;31;03;43;44;73;skyware;35830-000;" Rua Dom Carlos de Vasconcelos nº 350 - Bairro Centro";;;JABOTICATUBAS;"SL 4033";;;Lider
SES-JUIA-6068;21;12;68;46;25;77;skyware;37805-000;" 	Bairro Grama - Grama";;;JURUAIA;"SL 4033";;;"SH Sat"
