Nome;"Latitude Graus";"Latitude Minutos";"Latitude Segundos";"Longitude Graus";"Longitude Minutos";"Longitude Segundos";"Marca Antena";CEP;Endereco;Numero;Bairro;Cidade;ODU;BUC;"Marca Antena"
SES-SERA-0794;20;47;40;43;20;17;skyware;36470-000;"PRAÇA PADRE JOSE PEREIRA";" 0 ";" SAO GERALDO";"SENHORA DE OLIVEIRA";"SL 4033";;
SES-BANA-3633;21;12;25;43;46;24;patriot;36202-310;"Rua São Sebastião";" s/n";;BARBACENA;"SL 4033";;
SES-QUTA-3582;20;44;22;43;53;11;patriot;36424-000;"Rua Professor Eloy Lacerda";" 141 ";" Centro";QUELUZITA;"SL 4033";;
SES-JODE-3766;19;49;35;43;11;09;skyware;35930160;"Rua Um ";" n220 ";" Bairro Nova Esperança";"JOÃO MONLEVADE";;;
SES-JODE-3769;19;50;13;43;09;59;skyware;35931023;"Avenida Luzia Brandão Fraga de Souza ";" s/n ";" Bairro Loanda";"JOÃO MONLEVADE";;;
SES-JODE-3770;19;48;28;43;10;20;skyware;35930198;"Rua Duque de Caxias ";" s/n ";" Bairro Nª Srª da Conceição";"JOÃO MONLEVADE";"SL 4033";;
SES-SACU-0787;20;24;02;42;08;59;patriot;36918-000;"Avenida SEBASTIAO GOMES DA SILVA";" 0 ";" MONTE SINAI.";"SÃO JOÃO DO MANHUAÇU";"SL 4033";;
SES-PEES-0824;21;05;50;45;05;20;patriot;37260-000;"Rua Dulce Oliveira";" 66 ";" Vista Alegre";PERDÕES;"SL 4033";"Satlink 4033";
SES-BAGA-0841;20;17;03;43;02;28;patriot;35447-000;"avenida Pedro Jose Pimenta";" 0 ";" Centro";"BARRA LONGA";;"Satlink 4033";
SES-LAIM-0905;20;47;17;43;28;38;patriot;36455-000;"RUA PADRE GERALDO NORBERTO REIS";"nº 10 ";" ";LAMIM;"SL 4035";;
SES-BANA-3634;21;10;33;43;44;58;patriot;36200-000;"Rua Maria das Graças Vidal";" s/n";;BARBACENA;"SL 4033";;
SES-BANA-3631;21;11;42;43;38;27;skyware;36207-000;"Rua Manoel";" 102";;BARBACENA;"SL 4033";;
SES-RETO-3583;20;14;39;41;59;05;patriot;36920-000;"Pedro Claudio Conrado";" s/n";;REDUTO;;;
SES-TENI-3703;17;54;49;41;29;46;skyware;39800000;"Rua Chafariz ";" n60 ";" Bairro Taquara";"TEÓFILO OTONI";"SL 4033";;
SES-BEIM-3786;19;57;03;44;09;58;skyware;32670-778;"Av. Campos de Ourique";"520 ";" Jardim das Alterosas";BETIM;"SL 4033";;
SES-TENI-3674;17;47;26;41;28;18;skyware;39800000;"Estrada da Penitenciária ";" s/n ";" Zona Rural ";"TEÓFILO OTONI";"SL 4033";"Satlink 4033";
