Nome;"Latitude Graus";"Latitude Minutos";"Latitude Segundos";"Longitude Graus";"Longitude Minutos";"Longitude Segundos";"Marca Antena";CEP;Endereco;Numero;Bairro;Cidade;ODU;BUC;"Marca Antena"
SES-SAEI-3545;21;08;06;44;13;56;patriot;36305-186;"Rua Leticia Dangelo";" s/n";;"SÃO JOÃO DEL REI";"SL 4033";;
SES-CAIO-0672;18;14;58;41;43;32;patriot;39835-000;"Rua Hildelbrando Cabral";" 0 ";" Centro";Campanario;"SL 4035";;
SES-BURO-3450;17;22;12;44;58;08;patriot;39280-000;"Av. Brasil";" 108";;BURITIZEIRO;"SL 4035";;
SES-LACE-3456;17;53;15;44;34;59;patriot;39250-000;"Rua Jair de Sousa Pinto";" 252";;LASSANCE;"SL 4035";;
SES-LACE-3457;17;53;06;44;34;34;patriot;39250-000;"Rua Nossa senhora do Carmo";" 611";;LASSANCE;"SL 4035";;
SES-PIRA-3467;17;18;53;44;54;13;patriot;39270-000;"Rua Efigênia de Oliveira";" 105";;PIRAPORA;"SL 4035";;
SES-LACE-3453;17;53;39;44;34;45;patriot;39250-000;"Rua I";" 216";;LASSANCE;"SL 4035";;
SES-BURO-3448;17;22;16;44;58;19;skyware;39280-000;"Rua Extremidade";" 480";;BURITIZEIRO;"SL 4035";;
SES-GUMA-0694;21;00;33;42;43;09;patriot;36525-000;"Rua Vereador José Manoel";" 0 ";" Centro";GUIRICEMA;"SL 4033";"Satlink 4033";patriot
SES-PASO-3445;17;04;10;41;28;52;patriot;39818-000;"Rua Manoel Rocha";" 84";;"PADRE PARAÍSO";"SL 4035";;
SES-BURO-3443;17;21;42;44;58;05;skyware;39280-000;"Rua Professora Maria Geralda";" 161";;BURITIZEIRO;"SL 4035";;
SES-BURO-3442;17;21;18;44;57;57;patriot;39280-000;"Rua Maria Benedita dos Santos";" 702";;BURITIZEIRO;"SL 4033";;
SES-PIRA-3459;17;21;09;44;55;17;patriot;39270-000;"Rua Professora Alzira Ferreira";" 303";;PIRAPORA;"SL 4033";;
SES-PIRA-3468;17;20;16;44;55;08;skyware;39270-000;"Rua Maestro Nery Teixeira";" 555";;PIRAPORA;"SL 4035";;
SES-PIRA-3464;17;21;45;44;56;37;patriot;39270-000;"Rua Treze de Maio";" 821";;PIRAPORA;"SL 4033";;
SES-PASO-3484;17;04;21;41;29;03;skyware;39818-000;"Rua Juca de Matos";" 210 ";" João de Lino";"PADRE PARAÍSO";"SL 4033";;
SES-COES-3497;20;55;44;44;05;08;patriot;36330-000;"Rua Joana Mendonça";" s/n";;"CORONEL XAVIER CHAVES";"SL 4033";;
SES-COES-3498;20;55;44;44;05;08;patriot;36330-000;"Largo Gonçalves Lara";" 17";;"CORONEL XAVIER CHAVES";"SL 4033";;
"SES-DOOS- 3500";21;06;34;44;01;59;skyware;36213-000;"Rua Francisco Bernardes";" 484";;"DORES DE CAMPOS";"SL 4033";;
SES-DOOS-3501;19;56;04;43;56;13;patriot;36213-000;"Av. Getúlio Vargas";" 540";;"DORES DE CAMPOS";"SL 4033";;
SES-PROS-3534;21;03;25;44;04;45;patriot;36320-000;"Rua Cel João Luiz";" 61";;PRADOS;"SL 4033";;
SES-MADE-3555;15;24;04;42;52;03;patriot;39527-000;"Avenida José Alves Miranda";" 525";;"MATO VERDE";"SL 4033";;
SES-SADO-3592;20;55;19;42;50;08;patriot;36530-000;"Rua 21 de Abril";" 19 ";Fundos;"SÃO GERALDO";"SL 4033";;
SES-SARO-3591;15;20;29;42;37;09;skyware;10.146.0.1;"Praça Nazário Antunes";" 28";;"SANTO ANTÔNIO DO RETIRO";"SL 4033";;
SES-MOMA-3557;15;10;03;42;30;10;patriot;39547000;"Avenida Augusto Sá";" 459";;MONTEZUMA;"SL 4033";;
SES-PADO-3569;20;52;26;42;58;39;patriot;36544-000;"Rua Capitão Martinho";" s/n";;"PAULA CÂNDIDO";"SL 4033";;
SES-DOOS-3502;;;;;;;;36213-000;"Rua Sebastião Rezende";" 725";;"DORES DE CAMPOS";;;
SES-LADA-3512;20;54;43;44;04;13;skyware;36345-000;"Praça João Paulo II";" 101";;"LAGOA DOURADA";"SL 4033";;
SES-MATA-3485;17;50;37;42;04;37;patriot;39690-000;"Praça Pio XII";" 137 ";" Centro";MALACACHETA;"SL 4033";;
SES-PEIS-3573;19;13;56;47;28;17;patriot;38178-000;"Av. Josefina Ferreira dos Santos";" n 108";;PEDRINÓPOLIS;"SL 4033";;
SES-PIRA-3470;17;21;08;44;55;19;skyware;39270-000;"Rua Rosiria Amorim Guerra";" 450";;PIRAPORA;"SL 4035";;
SES-PIRA-3465;17;19;29;44;55;18;skyware;39270-000;"Rua Zizinha de Carvalho";" 500";;PIRAPORA;"SL 4033";;
SES-PIRA-3466;17;20;53;44;55;06;skyware;39270-000;"Rua 22";" 55";;PIRAPORA;"SL 4035";;
SES-RIIS-3539;21;01;44;44;19;37;patriot;36335-000;"Rua Dr";" João Ribeiro de Sousa";;RITÁPOLIS;"SL 4033";;
