Nome;"Latitude Graus";"Latitude Minutos";"Latitude Segundos";"Longitude Graus";"Longitude Minutos";"Longitude Segundos";"Marca Antena";CEP;Endereco;Numero;Bairro;Cidade;ODU;BUC;"Marca Antena";Empresa
SES-CAHA-5310;21;50;48;45;23;88;skyware;37400-000;"Rua José Veiga de Almeida";" 81 ";" Bairro ";CAMPANHA;"SL 4033";;;"SH Sat"
SES-CAHA-5312;21;48;73;45;25;22;skyware;37400-000;"Rua Adrielli Andriatta";" 255 ";" Bairro COHAB";CAMPANHA;"SL 4033";;;"SH Sat"
SES-CAHA-5309;21;50;03;45;24;08;skyware;37400-000;"Rua Doutor Cesarino S/N - Bairro Centro";;;CAMPANHA;"SL 4033";;;"SH Sat"
SES-CAAA-4505;20;41;27;42;36;60;skyware;36592-000;AV;" PEDRO DIAS LOPES ";;CANAÃ;"SL 4033";;;Lider
SES-CHOR-4511;22;00;20;43;03;48;skyware;36630-000;"RUA: ARNOR ESTEVES";" 320";;CHIADOR;"SL 4033";;;Lider
SES-CHOR-4548;22;00;11;43;03;29;skyware;36635-000;"RUA CORONEL VIRGÍLIO COUTINHO Nº 50";;;CHIADOR;"SL 4033";;;Lider
SES-CHOR-4549;22;00;07;42;56;12;skyware;36630-000;"RUA JOAQUIM MONTEIRO DE CARVALHO Nº 123";;;CHIADOR;;;;Lider
SES-CORA-4512;20;51;39;42;48;12;skyware;36550-000;"Avenida Matias Cunha S/N.º Centro";;;COIMBRA;"SL 4033";;;Lider
SES-COCO-4185;21;35;27;43;15;87;skyware;36155-000;"Rua Aspirante José Manoel de Oliveira";" 40";;"CORONEL PACHECO";"SL 4033";;;Lider
SES-COVO-4517;19;49;51;42;23;10;skyware;35345-000;"AV. PREFEITO CARLITO CAETANO CAMPOS";" 120 ";;"CÓRREGO NOVO";"SL 4033";;;Lider
SES-ESIZ-4525;20;39;02;41;54;35;;36830-000;"RUA: HENRIQUE GRIPP FILHO";"nº 128 ";" CENTRO";"ESPERA FELIZ";"SL 4033";;;Lider
SES-ITRI-3715;18;02;08;41;40;57;skyware;39830-000;"AV. FREI ARCANGELO ";" 1329  ";" Bairro Centro";ITAMBACURI;"SL 4033";;;Lider
SES-LUGO-4576;20;26;30;42;06;12;skyware;36923-000;"Rua Orlando Muniz de Carvalho - Centro";;;LUISBURGO;;;;Lider
SES-MAIS-3666;17;04;50;40;42;58;skyware;39873-000;"RUA PRIMEIRO DE JANEIRO ";" n 264";;MACHACALIS;"SL 4033";;;Lider
SES-MATA-3488;17;56;35;42;11;40;skyware;39690-000;"Rua Nossa Senhora do Carmo";" s/n";;MALACACHETA;"SL 4033";;;Lider
SES-MATA-3489;17;47;53;41;58;13;skyware;39690-000;" 	Rua do Campo ";" s/n Distrito Santo Antônio do Mucuri ";;MALACACHETA;"SL 4033";;;Lider
SES-MATA-3490;17;49;85;42;13;70;skyware;39690-000;"Praça José Gomes Amaral";" s/n";;MALACACHETA;"SL 4033";;;Lider
SES-MAIM-5028;20;20;49;41;57;14;skyware;36970-000;"Rua Joaquim Marciano de Oliveira";" s/n ";" Cidade Jardim";MANHUMIRIM;"SL 4033";;;Lider
SES-MANA-4106;18;46;12;40;58;28;skyware;35290-000;" R. Juranir Silva";" S/N ";"  Bela Vista";MANTENA;;;;Lider
SES-MAFE-5295;22;21;65;45;24;15;skyware;37517-000;"BAIRRO ILHA - Zona Rural";;;"MARIA DA FÉ";"SL 4033";;;"SH Sat"
SES-MAFE-5292;22;18;28;45;17;37;skyware;37517-000;"BAIRRO RESERVA - Zona Rural";;;"MARIA DA FÉ";"SL 4033";;;"SH Sat"
SES-MAES-5030;20;13;56;41;50;57;skyware;36972-000;"Rua Projetada 3 Nº 54 - Distrito Pinheiro de Minas";;;"MARTINS SOARES";"SL 4033";;;Lider
SES-MAES-5031;20;15;16;41;52;36;skyware;36972-000;"Rua Cota Emerick Nº 257 - Centro";;;"MARTINS SOARES";"SL 4033";;;Lider
SES-MOAS-5042;20;20;17;42;24;19;skyware;35628-000;"Rua Frei Orlando";" 574 ";" Centro";"MORADA NOVA DE MINAS";"SL 4033";;;Lider
SES-MOAS-5043;19;51;35;43;55;75;skyware;35628-000;"Rua Floripes Campos";" 347 ";" São Geraldo";"MORADA NOVA DE MINAS";"SL 4033";;;Lider
SES-NOEM-4289;18;29;33;41;06;17;skyware;35298-000;"AV. JOÃO ALVES DE PAULA";" 357 ";" CENTRO";"NOVA BELÉM";"SL 4033";;;Lider
SES-NOEM-4609;18;29;45;41;06;32;skyware;35298-000;"JOÃO ALVES DE PAULA N/450 - CENTRO";;;"NOVA BELÉM";"SL 4033";;;Lider
SES-NODE-5133;27;07;16;46;25;38;patriot;37860-000;"Av. Gabriel Cardoso";" 813";;"NOVA RESENDE";"SL 4033";;;"SH Sat"
SES-PASO-3480;17;04;42;41;29;67;skyware;39818-000;"Rua Lopes Dias";" 518 ";" Vila Vieira";"PADRE PARAÍSO";"SL 4033";;;Lider
SES-PASO-3482;17;04;48;41;29;23;skyware;39818-000;"Rua Juiz de Fora";" s/n ";" Bom Jeus";"PADRE PARAÍSO";"SL 4033";;;Lider
SES-PAIS-3563;16;44;33;40;25;59;skyware;39945-000;"PRAÇA ALMIRANTE JOAQUIM DE OLIVEIRA";" S/N";;PALMÓPOLIS;"SL 4033";;;Lider
SES-PARO-5167;22;23;06;44;57;55;patriot;37460-000;"RUA OSWALDO ORLANDO";" 60 ";" Bairro Centro";"PASSA QUATRO";"SL 4033";;;"SH Sat"
SES-PAOS-5229;20;42;33;46;37;10;patriot;37900-000;"RUA BUENOS AIRES";" S/N ";" Bairro COIMBRAS";PASSOS;"SL 4033";;;"SH Sat"
SES-PAOS-5230;20;41;54;46;36;59;patriot;37900-000;"RUA COIMBRAS";" 1170 ";" Bairro NOSSA SENHORA DE FÁTIMA";PASSOS;"SL 4033";;;"SH Sat"
SES-PAOS-5231;20;42;42;46;35;95;skyware;37900-000;"RUA GUANABARA";" 1425 ";" Bairro SANTA LUZIA";PASSOS;"SL 4033";;;"SH Sat"
SES-PAOS-5218;20;43;93;46;36;52;patriot;37900-000;"RUA ALFERES JOÃO PIMENTA DE ABREU";" 45 ";" Bairro NOSSA DAS GRAÇAS";PASSOS;"SL 4033";;;"SH Sat"
SES-PAOS-5219;20;45;02;46;36;26;skyware;37900-000;"RUA JOÃO TEIXEIRA MENDES";" 940 ";" JARDIM ITÁLIA";PASSOS;"SL 4033";;;"SH Sat"
SES-PAOS-5220;20;43;47;46;36;37;patriot;37900-000;"RUA DAVID BALDINI - CENTRO";;;PASSOS;"SL 4033";;;"SH Sat"
SES-PAOS-5221;20;45;02;46;36;26;skyware;37900-000;"RUA JOÃO TEIXEIRA MENDES";" 940 ";" JARDIM ITÁLIA";PASSOS;"SL 4033";;;"SH Sat"
