Nome;"Latitude Graus";"Latitude Minutos";"Latitude Segundos";"Longitude Graus";"Longitude Minutos";"Longitude Segundos";"Marca Antena";CEP;Endereco;Numero;Bairro;Cidade;ODU;BUC;"Marca Antena";Empresa
SES-BEIM-3828;19;57;01;44;07;11;skyware;32681-520;"Rua Augusto Severo";254;;BETIM;"SL 4033";;;Vodanet
SES-ITRA-4000;19;35;43;43;11;42;skyware;35904-003;"TRAVESSA PASSARO VERDE 100 - PEDREIRA";;;ITABIRA;"SL 4033";;;Lider
SES-PIUI-4133;19;41;07;44;53;40;skyware;35650-000;"Rua Lacerdino Rocha";" s/n";;PITANGUI;"SL 4033";;;Lider
SES-FRAL-4195;20;01;57;48;56;30;skyware;38200-000;"Rua Pio XII";" 448";;FRUTAL;"SL 4033";;;Lider
SES-ITRA-4018;19;37;09;43;13;18;skyware;35900-595;"CHACARA FERNANDO JARDIM 555";;;ITABIRA;"SL 4033";;;Lider
SES-LENA-4073;21;38;44;42;34;37;skyware;36700-002;"Rua Principal";" s/n";;LEOPOLDINA;"SL 4033";;;Lider
SES-ABOS-4411;18;28;14;47;24;59;skyware;38540-000;"Rua Quincas Rodrigues 270";" Alto Abadiense";;"ABADIA DOS DOURADOS";"SL 4033";;;Lider
SES-ALIS-0887;20;51;50;46;23;35;;37940-000;"RUA MAESTRO GERALDO APRÁGIO";" 100  ";" Centro";ALPINÓPOLIS;"SL 4033";;;Lider
SES-AUMA-4499;18;04;32;44;15;00;skyware;39220-000;"PRAÇA PREFEITO JOÃO CAETANO";" 418";;"AUGUSTO DE LIMA";"SL 4033";;;Lider
SES-BETE-5386;19;55;01;43;56;08;skyware;30160-040;"Rua Rio de Janeiro";" N°341 ";" Centro";"BELO HORIZONTE";"SL 4033";;;Vodanet
SES-BOSO-4150;22;28;06;46;08;55;;37610-000;"RUA MINOTTE MANGIA";" 37 ";" CENTRO";"BOM REPOUSO";;;;Lider
SES-BOSO-4151;22;28;24;46;08;40;skyware;37610-000;" 	RUA ALAMEDA JOSE BRANDÃO";" S/N ";" CENTRO";"BOM REPOUSO";"SL 4033";;;Lider
SES-CAIS-4432;19;15;07;44;26;55;skyware;35770-000;"Rua Antonio Henriques de Oliveira 94";;;CAETANÓPOLIS;"SL 4033";;;Lider
SES-CAOS-4154;19;41;40;46;09;53;skyware;38970-000;"Rua João Soares de Souza";" 1130 ";" Santa Terezinha";"CAMPOS ALTOS";"SL 4033";;;Lider
SES-CAOS-4504;19;42;04;46;10;08;skyware;38970-000;"RUA MARIA RITA FRANCO nº 465";;;"CAMPOS ALTOS";"SL 4033";;;Lider
SES-CAIS-4277;18;43;26;49;12;09;skyware;38380-000;"RUA 10 Nº 452 - centro";;;CANÁPOLIS;;;;Lider
