Nome;"Latitude Graus";"Latitude Minutos";"Latitude Segundos";"Longitude Graus";"Longitude Minutos";"Longitude Segundos";"Marca Antena";CEP;Endereco;Numero;Bairro;Cidade;ODU;BUC;"Marca Antena";Empresa
SES-CAHO-4543;19;55;34;50;54;07;skyware;38296-000;"Rua Getulio Vargas";" 599";;CARNEIRINHO;"SL 2000";;;Lider
SES-CAOS-0810;21;59;52;44;27;44;skyware;37456-000;"avenida ESDRAS THOMAZ SALVADOR";" 295 ";" CENTRO";CARVALHOS;"SL 2000";;;Lider
SES-CHHA-0893;15;17;50;45;37;47;skyware;39314-000;"TANCREDO NEVES";" 480 ";" Centro";"CHAPADA GAÚCHA";"SL 2000";;;Lider
SES-COAS-4184;22;08;43;45;27;20;skyware;37527-000;"Pça. da Saude";" s/n ";" ";"CONCEIÇÃO DAS PEDRAS";"SL 2000";;;Lider
SES-CORA-4403;19;45;13;44;53;51;skyware;35668-000;"RUA VENERO CAETANO";" 66 AO LADO DA IGREJA";;"CONCEIÇÃO DO PARÁ";"SL 4033";;;Lider
SES-COTE-5544;20;35;54;43;43;48;skyware;36400-000;"Rodovia MG 129 Km 10";;;"CONSELHEIRO LAFAIETE";;;;Lider
SES-COUS-4515;22;37;52;46;01;18;skyware;37605-000;" 	RUA BENEDITO TIBURCIO DA COSTA N :07";;;"CÓRREGO DO BOM JESUS";"SL 2000";;;Lider
SES-CRZA-4518;18;56;38;46;40;28;skyware;38735-000;"RUA 13 DE MAIO";" 333 (PRAÇA DO SANTUÁRIO)";;"CRUZEIRO DA FORTALEZA";"SL 4033";;;Lider
SES-DOIM-4444;18;48;32;43;14;10;skyware;35865-000;"Rua Bandeirinha";;;"DOM JOAQUIM";"SL 2000";;;Lider
SES-ENAS-4088;19;11;54;42;02;53;skyware;35130-000;" 	Rua Joaquim Manoel Ribeiro";" n 129";;"ENGENHEIRO CALDAS";"SL 2000";;;Lider
