Nome;BUC;"Latitude Graus";"Latitude Minutos";"Latitude Segundos";"Longitude Graus";"Longitude Minutos";"Longitude Segundos";"Marca Antena";"NS Antena";CEP;Endereco;Numero;Bairro;Cidade
SES-COUS-0895;"Satlink 4033";16;41;14;44;21;28;patriot;;39340-000;;;;"CORAÇÃO DE JESUS"
SES-TRAS-0808;;18;12;11;45;13;52;;;39205-000;;;;"TRÊS MARIAS"
SES-UMBA-0800;;17;15;24;40;34;59;;;39878-000;;;;UMBURATIBA
SES-VAHA-0924;;21;33;40;45;26;35;;;37010-000;;;;VARGINHA
SES-VIAS-0799;"Satlink 4033";21;54;55;41;15;31;patriot;;36895-000;;;;VIEIRAS
