Nome;"Latitude Graus";"Latitude Minutos";"Latitude Segundos";"Longitude Graus";"Longitude Minutos";"Longitude Segundos";"Marca Antena";CEP;Endereco;Numero;Bairro;Cidade;ODU;BUC;"Marca Antena"
SES-BEIM-3786;19;57;03;44;09;58;skyware;32670-778;"Av. Campos de Ourique";"520 ";" Jardim das Alterosas";BETIM;"SL 4033";;
SES-PONE-0804;19;14;01;42;05;50;patriot;36960-000;"PRAÇA LEÔNCIO DE OLIVEIRA";" 46  ";" CENTRO.";POCRANE;;;
SES-PEIA-0839;20;15;19;45;12;35;skyware;35565-000;"RUA RIO DE JANEIRO";" 51";;"PEDRA DO INDAIÁ";"SL 4033";;
SES-IBNA-3328;21;09;15;44;44;53;skyware;37223-000;"PRAÇA DOS BANDEIRANTES";" 143 ";" Centro";IBITURUNA;"SL 4033";;
SES-BANA-3620;21;12;09;43;45;04;skyware;36200-000;"Rua Antônio Alves de Oliveira";" s/n";;BARBACENA;"SL 4033";;
SES-BANA-3635;21;17;28;43;58;57;patriot;36209-000;"Rua Emília Augusta de Oliveira";" s/n";;BARBACENA;;;
SES-BANA-3622;21;11;56;43;45;33;skyware;36204-634;"Rua São Francisco de Assis";" 63";;BARBACENA;"SL 4033";;
SES-BANA-3623;21;11;57;43;47;53;patriot;36202-801;"Rua José Paula Coelho";" s/n";;BARBACENA;"SL 4033";;
SES-JODE-3762;19;48;49;43;11;49;skyware;35930125;"Rua Ipatinga";" n624 ";"Bairro Industrial";"JOÃO MONLEVADE";"SL 4033";;
SES-BEIM-3793;19;56;49;44;09;31;patriot;32670-704;"Rua Ericeira";"890 ";" Bairro Jardim das Alterosas";BETIM;"SL 4033";;
SES-BETE-3951;19;53;30;43;57;49;skyware;31250-115;" 	Rua José Benedito Antão";" 189 ";" Galpão do Almoxarifado ";"BELO HORIZONTE";"SL 4033";;
SES-SASA-0833;15;59;48;39;56;43;skyware;39925-000;"Rua Porto Velho";" 54 ";" Barro Preto";"SALTO DA DIVISA";"SL 4033";;
SES-LAHA-3342;17;37;33;41;44;12;skyware;39825-000;"Rua Costa e Silva";" ";" s/n";LADAINHA;"SL 4033";;
SES-BANA-3621;21;14;54;43;46;11;skyware;36200-000;"Rua Rufino José";" s/n";;BARBACENA;"SL 4033";;
SES-TENI-3673;17;51;51;41;30;11;patriot;39800000;"Rua Conselheiro Mayrink ";" n115 ";" Bairro  Altino Barbosa";"TEÓFILO OTONI";"SL 4033";"Satlink 4033";
SES-BAIS-3741;19;51;39;43;27;10;skyware;35970000;"RUA LUIZ AUGUSTO DIAS";" n780 ";" Bairro Cocais";"BARÃO DE COCAIS";"SL 4033";;
SES-BEIM-3794;19;56;17;44;10;32;skyware;32672-222;"Rua Rio Verde";" 93 ";" Bairro Nossa Senhora de Fátima";BETIM;"SL 4033";;
SES-BOCA-3913;21;06;09;45;33;00;skyware;37170-000;"Rua Atílio Fortunato";" 30";;"BOA ESPERANÇA";"SL 4033";;
SES-BOCA-3915;21;55;5;45;34;15;skyware;37170-000;"Av. São Vicente de Paula";" 707";;"BOA ESPERANÇA";"SL 4033";;
SES-DOIS-0863;20;17;16;45;54;16;skyware;37926-000;"praça NOSSA SENHORA DAS DORES";" 0 ";" CENTRO";DORESÓPOLIS;"SL 4033";;
SES-CETE-0857;19;08;58;45;42;36;skyware;35624-000;"Avenida CORONEL FRANCISCO FRANCISCO GUIMARAES";" 268 ";" CENTRO";"CEDRO DO ABAETÉ";"SL 4033";;
SES-SARO-0875;20;56;43;44;55;10;skyware;37262-000;"Rua Ananias Teixeira de Avelar";" 81 ";" Centro";"SANTO ANTÔNIO DO AMPARO";"SL 4033";;
SES-ILEA-3330;20;56;16;45;49;36;patriot;37175-000;"RUA FRANCISCO DE OURO 40 - Centro";;;ILICÍNEA;"SL 4033";;
SES-CAIA-3745;19;05;23;43;08;18;skyware;35878000;"RUA PADRE ANTÔNIO CARLOS VARGAS ";" n447 ";" Centro";CARMÉSIA;"SL 4033";;
SES-BEIM-3791;19;57;44;44;09;42;skyware;32670-512;"Av. Manducaia";"272 ";" Bairro Dom Bosco";BETIM;"SL 4033";;
SES-BEIM-3792;19;56;68;44;9;72;skyware;32671-062;"Av. Das Acacias";" s/nª ";" Bairro Jardim das Alterosas";BETIM;;;
SES-BEIM-3790;19;55;49;44;09;53;skyware;32672-758;"Av. Belo Horizonte";" 386 ";" Bairro Cruzeiro do Sul";BETIM;"SL 4033";;
SES-BOCA-3914;21;06;01;45;33;38;skyware;37170-000;"Praça Joaquim José Neves";" 66";;"BOA ESPERANÇA";"SL 4033";;
SES-MANA-0842;19;13;09;45;57;51;skyware;38870-000;"RUA: VEREADOR PEDRO MARTINS XAVIER";" 97";;MATUTINA;"SL 4033";;
SES-CARO-0856;20;58;06;46;07;15;skyware;37150-000;"praça ARGENTINO RODRIGUES OLIVEIRA";" 32 ";" SAO BENEDITO";"CARMO DO RIO CLARO";"SL 4033";;
SES-BANA-3611;21;13;29;43;13;22;skyware;36205-276;"Rua José Francisco Paes";" 320";;BARBACENA;"SL 4033";;
