Nome;"Latitude Graus";"Latitude Minutos";"Latitude Segundos";"Longitude Graus";"Longitude Minutos";"Longitude Segundos";"Marca Antena";CEP;Endereco;Numero;Bairro;Cidade;ODU;BUC;"Marca Antena"
SES-ITRI-3721;18;01;42;41;40;11;skyware;39830000;"RUA DOS INDIOS ";" n26 ";" Bairro VARZEA";ITAMBACURI;;;
SES-BEAS-3744;19;49;04;43;04;03;skyware;35938-000;"RUA MARISTELA BRAGA ";" s/n ";" Centro";"BELA VISTA DE MINAS";"SL 4033";;
SES-BEIM-3789;19;56;43;44;10;54;skyware;32671-788;"Rua Treze";"220 ";" Bairro Conj. Olimpia Bueno Franco";BETIM;;;
SES-BEIM-3798;19;56;40;44;07;36;skyware;32650-020;"Praça da Bandeira";"67 ";" Bairro Laranjeiras";BETIM;"SL 4033";;
SES-BEIM-3796;19;56;03;44;08;07;skyware;32675-818;"Rua São Lucas";"96 ";" Bairro Vila Cristina";BETIM;"SL 4033";;
SES-MACU-3927;22;05;10;44;20;02;skyware;36900-000;"Rua Sebastiana Moura";" 220";;MANHUAÇU;"SL 4033";;
SES-DAAS-0955;18;26;59;43;39;33;skyware;39130-000;"Rua Nestra vicentino de Ávila";" 105 ";" Centro";DATAS;;;
SES-GRRA-0902;18;29;44;47;43;25;skyware;38470-000;"AVENIDA SÍLVIO JOSÉ DE OLIVEIRA";"103 ";" ";GRUPIARA;"SL 4033";;
SES-VATA-0884;20;19;44;46;22;16;skyware;37922-000;"AV SÃO PAULO 400";;;"VARGEM BONITA";;;
SES-GUES-3756;18;47;35;42;57;27;skyware;39740000;"AV. GOVERNADOR MILTON CAMPOS ";" n24 ";" Bairro Vermelho";GUANHÃES;"SL 4033";;
SES-NAUE-3728;17;50;24;40;20;11;skyware;39860000;"RUA CARIJÓS ";" n80 ";" Bairro Laticínio";NANUQUE;"SL 4033";;
SES-JORO-3659;17;45;01;46;10;47;patriot;38770000;"AV. ORÁCIO DORNELES ";" n730 ";" BAIRRO ALVORADA";"JOÃO PINHEIRO";"SL 4033";;
SES-GUOR-3652;17;46;14;47;05;33;skyware;38570000;"RUA GOVERNADOR VALADARES";" n955 ";" BAIRRO JK";GUARDA-MOR;"SL 4033";;
SES-BEIM-3800;19;55;40;44;06;07;skyware;32678-028;"Rua Rio Grande do Sul";" 341 ";" Bairro Vila Universal";BETIM;"SL 4033";"Satlink 4033";
SES-OLRA-3883;20;42;10;44;49;39;skyware;35540000;"Pça Manoelita Chagas";;;OLIVEIRA;;;
SES-CADE-3922;16;01;34;47;05;16;skyware;38625-000;"Avenida São José";" SN";;"CABECEIRA GRANDE";"SL 4033";;
SES-BOCA-3908;21;05;52;45;32;59;skyware;37170-000;"Rua Castro Alves";" 368";;"BOA ESPERANÇA";"SL 4033";;
