Nome;"Latitude Graus";"Latitude Minutos";"Latitude Segundos";"Longitude Graus";"Longitude Minutos";"Longitude Segundos";"Marca Antena";CEP;Endereco;Numero;Bairro;Cidade;ODU;BUC;"Marca Antena";Empresa
SES-ALRA-5389;16;10;28;40;41;17;skyware;39900-000;"Rua Eli Alves Cangussu";" 2237 ";" Bairro Pedro Gomes";ALMENARA;;;;Lider
SES-BELO-6152;16;57;10;42;27;48;skyware;39640-000;" RUA GERALDO DE SOUZA COELHO";" 541 ";" BAIRRO SÃO FRANCISCO";BERILO;"SL 4033";;;"SH Sat"
SES-BIAS-5866;18;46;92;45;29;98;skyware;35621-000;" RUA GUSTAVO CAPANEMA";" 402 ";" BAIRRO CENTRO";BIQUINHAS;"SL 4033";;;Lider
SES-BIAS-5867;18;47;10;45;30;12;skyware;35621-000;" RUA MINAS GERAIS";" 28 ";" BAIRRO CENTRO";BIQUINHAS;"SL 4033";;;Lider
SES-BOSO-5600;21;02;15;44;45;75;skyware;37220-000;" RUA AURÉLIO FERREIRA GUIMARÃES";" 233 ";" BAIRRO CENTRO";"BOM SUCESSO";"SL 4033";;;"SH Sat"
SES-CAAO-5433;20;31;38;41;54;23;skyware;36834-000;" Rua Oscar Pinheiro";" 250 ";" Bairro Centro";CAPARAÓ;"SL 4033";;;Lider
SES-CAAO-5434;20;33;02;41;58;51;skyware;36834-000;" Córrego Capim Roxo - Zona Rural";;;CAPARAÓ;"SL 4033";;;Lider
SES-CAAO-5435;20;30;13;41;52;55;skyware;35834-000;" Córrego Boa Vista - Zona Rural";;;CAPARAÓ;"SL 4033";;;Lider
SES-CAHA-5899;17;38;48;42;40;42;skyware;39680-000;" Rua Santa Luzia";" s/n Ponte Nova";;CAPELINHA;"SL 4033";;;"SH Sat"
SES-CAIO-5438;20;37;10;46;02;28;skyware;37930-000;"José Soares de Oliveira";" 240 ";" Bairro Jardim Europa";CAPITÓLIO;;;;"SH Sat"
SES-CAAS-5843;17;42;65;40;45;63;skyware;39864-000;" RUA FREI SIMEÃO ";" 709 ";" BAIRRO JUÁ";"CARLOS CHAGAS";"SL 4033";;;Lider
SES-CAAS-5982;21;29;27;44;38;67;skyware;37245-000;" Rua Cel. Antônio Francisco";"120 ";" Bairro Centro";CARRANCAS;"SL 4033";;;"SH Sat"
SES-CAJI-4547;17;17;50;41;31;23;skyware;39816-000;"RUA ELIESER PINHEIRO";;;CATUJI;"SL 4033";;;"SH Sat"
SES-CATI-5835;15;21;80;42;57;58;skyware;39526-000;" RUA JOAQUIM RODRIGUES";"444 ";" BAIRRO CENTRO";CATUTI;"SL 4035";;;Lider
SES-CATI-5836;15;23;19;43;06;44;skyware;39526-000;" AVENIDA SALINAS";"S/N ";" B.BRANCO";CATUTI;"SL 4033";;;Lider
SES-CATI-6155;15;21;48;42;57;35;skyware;39526-000;" RUA JOSÉ FERREIRA";" AO LADO DO CENTRO DE SAÚDE ";" BAIRRO CENTRO";CATUTI;"SL 4033";;;"SH Sat"
SES-CLIO-5450;20;26;22;44;45;53;skyware;35530-000;"Rua Ceará";" 215 ";" Bairro Centro";CLÁUDIO;"SL 4033";;;"SH Sat"
SES-COGO-6011;19;21;38;44;19;28;skyware;35780-000;" Rua do Rosário";" 76 ";" Bairro Centro";CORDISBURGO;"SL 4033";;;Lider
SES-COGO-6012;19;21;98;44;19;43;skyware;35780-000;" Av. Maria Julia Ramos";" 436 ";" Bairro Centro";CORDISBURGO;"SL 4035";;;Lider
SES-COGO-6014;19;26;65;44;12;48;skyware;35780-000;" Rua Senhor dos Passos";" 90 ";" Bairro Lagoa Bonita";CORDISBURGO;"SL 4033";;;Lider
SES-CUUE-5888;19;00;48;41;06;65;skyware;35245-000;" Rua Pergentino Povoa - Distrito Aldeia ";;;CUPARAQUE;"SL 4033";;;"SH Sat"
SES-DEIS-5513;20;26;97;46;43;73;skyware;37910-000;" Rua Cristiano Joaquim Lemos";" 688 ";" Bairro Olhos Dagua";DELFINÓPOLIS;"SL 4033";;;"SH Sat"
SES-DEIS-5514;20;30;23;46;38;22;skyware;37910-000;" Rua José Sidio Maia. S/N - Bairro Ponte Alta";;;DELFINÓPOLIS;"SL 4033";;;"SH Sat"
