Nome;BUC;"Latitude Graus";"Latitude Minutos";"Latitude Segundos";"Longitude Graus";"Longitude Minutos";"Longitude Segundos";"Marca Antena";"NS Antena";CEP;Endereco;Numero;Bairro;Cidade
SES-COUS-0895;"Satlink 4033";16;41;14;44;21;28;patriot;;39340-000;"Rua Nozinho Prates";" 1011 ";" Sagrada Família";"CORAÇÃO DE JESUS"
SES-TRAS-0808;;18;12;11;45;13;52;;;39205-000;"Avenida GETULIO VARGAS";" 3 ";" CENTRO.";"TRÊS MARIAS"
SES-UMBA-0800;;17;15;24;40;34;59;;;39878-000;"Rua APARECIDA";" 140 ";" CENTRO";UMBURATIBA
SES-VAHA-0924;;21;33;40;45;26;35;;;37010-000;"avenida Benjamim Constant";" 275 ";" centro";VARGINHA
SES-VIAS-0799;"Satlink 4033";20;51;53;42;14;32;patriot;;36895-000;"Rua LILIA MOREIRA";" 0 ";" CENTRO";VIEIRAS
