Nome;"Latitude Graus";"Latitude Minutos";"Latitude Segundos";"Longitude Graus";"Longitude Minutos";"Longitude Segundos";"Marca Antena";CEP;Endereco;Numero;Bairro;Cidade;ODU;BUC;"Marca Antena";Empresa
SES-ARRI-4427;18;40;07;48;10;52;skyware;38446-144;"R. COROMANDEL";" BAIRRO AMORIM";;ARAGUARI;"SL 2000";;;Lider
SES-ARGO-4301;21;32;58;45;46;59;skyware;37820-000;"rua Coronel Cândido de Souza Dias";" 52";;ARCEBURGO;"SL 4033";;;Lider
SES-BAIM-3873;19;19;44;43;55;55;skyware;35707-000;"Rua Bonifácio Barbosa";" 45 Distrito de são Vicente";;BALDIM;"SL 4033";;;"SH Sat"
SES-BAIS-5548;19;56;75;43;29;23;skyware;35970-000;"RUA BIAS FORTES";" 138 ";;"BARÃO DE COCAIS";"SL 4035";;;Lider
SES-CAVA-4507;20;55;48;43;37;13;skyware;36290-000;"Rua Prefeito Romildo Gomes s/n";;;"CAPELA NOVA";"SL 4033";;;Lider
"SES-DINO-4183 ";20;34;23;42;06;59;skyware;36820-000;"MG262 KM 05 USINA";;;DIVINO;"SL 2000";;;Lider
"SES-DINO-4182 ";20;34;23;42;06;05;skyware;36820-000;"RUA JOAQUIM FABRICIO SOUZA";" 75";;DIVINO;"SL 2000";;;Lider
SES-DINO-4181;20;34;23;42;06;05;skyware;36825-000;"RUA PRINCIPAL";" 692 ";" BOM JESUS";DIVINO;"SL 2000";;;Lider
SES-FRAL-4206;20;22;48;48;55;12;skyware;38200-000;"Vila Barroso  - Zona Rural - Povoado";;;FRUTAL;"SL 2000";;;Lider
"SES-FRAL-4205 ";19;56;53;49;11;18;patriot;38200-000;"Povoado de Boa Esperança/Zona Rural - Povoado";;;FRUTAL;"SL 2000";;;Lider
"SES-FRAL-4202 ";20;01;97;48;56;52;skyware;38200-000;"Rau Tiradentes";" 330";;FRUTAL;"SL 4033";;;"SH Sat"
SES-IBCI-5301;20;18;47;47;06;20;skyware;37990-000;"Avenida Aeroporto";" s/n.º ";" Bairro Lage";IBIRACI;"SL 4033";;;"SH Sat"
SES-IBCI-5300;20;27;55;47;07;22;skyware;37990-000;"Avenida César Elias Jorge";" 941 ";" Bairro Centro";IBIRACI;"SL 4033";;;"SH Sat"
SES-IBCI-5299;20;27;78;47;07;47;skyware;37990-000;"Rua João Pessoa";" 360 ";" Bairro Centro";IBIRACI;"SL 4035";;;"SH Sat"
SES-IJCI-3872;21;10;42;44;55;73;skyware;37205-000;"Rua São João N: 160 - Vila Aparecida";;;IJACI;"SL 4035";;;"SH Sat"
