Nome;"Latitude Graus";"Latitude Minutos";"Latitude Segundos";"Longitude Graus";"Longitude Minutos";"Longitude Segundos";"Marca Antena";CEP;Endereco;Numero;Bairro;Cidade;ODU;BUC;"Marca Antena";Empresa
SES-MACU-6327;20;05;51;42;09;07;skyware;36900-000;"Rua São Sebastião";" s/n.º Em frente á quadra ";" Zona Rural";MANHUAÇU;;;;"SH Sat"
SES-MACU-6051;20;15;43;42;02;16;skyware;36900-000;"R. Antônio Welerson";" 634 ";" Bairro Santo Antônio";MANHUAÇU;"SL 4033";;;"SH Sat"
SES-MADE-6104;15;41;17;40;44;20;skyware;39915-000;" Rua Tiradentes";" Nº 7 ";" Bairro Centro";"MATA VERDE";"SL 4033";;;Lider
SES-NOEM-4288;18;28;32;41;01;05;skyware;35298-000;"RUA JULIO JOSE VERLY";" 150 ";" POVOADO DE SANTO ANTONIO";"NOVA BELÉM";"SL 4033";;;"SH Sat"
SES-OLES-4612;21;20;18;43;27;26;skyware;37488-000;" RUA: 22 DE ABRIL";" nª 394 CENTRO";;"OLIVEIRA FORTES";"SL 4033";;;Lider
SES-PEDO-5163;19;38;12;44;02;04;skyware;33600-000;"RUA RAUL HONRIOT";" 223 ";" Bairro: Santo Antônio";"PEDRO LEOPOLDO";"SL 4033";;;"SH Sat"
SES-PIGA-4617;19;45;62;42;04;57;skyware;35325-000;"Avenida Nossa Senhora da Piedade";" 492 ";" CENTRO";"PIEDADE DE CARATINGA";"SL 4033";;;Lider
SES-RIBA-6878;21;16;00;43;10;07;skyware;36180-000;"RUA PEDRO JOSÉ DE FREITAS S/N -NOSSA SENHORA DAS GRAÇAS";;;"RIO POMBA";"SL 4035";;;"SH Sat"
SES-SEAS-6714;19;27;57;44;14;48;skyware;35702-321;"RUA OSCAR PADILHA";" 635 ";" BAIRRO BELO VALE";"SETE LAGOAS";"SL 4033";;;Vodanet
SES-BETE-6540;19;55;27;43;56;25;skyware;30380-070;"Rua SINVAL DE SÁ";" 292 ";" CIDADE JARDIM";"BELO HORIZONTE";"SL 4033";;;Vodanet
SES-BETE-6722;19;46;49;43;57;13;skyware;31630-900;" 	Rod. Prefeito Américo Renê Gianetti Cidade Administrativa - Prédio Minas ";;;"BELO HORIZONTE";"SL 4033";;;Vodanet
SES-GUTA-5136;19;12;72;49;47;48;skyware;38310-000;"RUA JOSÉ MARTINS DO CARMO ESQ C/ MANOEL INÁCIO SANTOS";" Nº 55 ";" Bairro Centro";GURINHATÃ;"SL 4033";;;Lider
SES-IAPU-6242;19;32;11;42;16;17;skyware;35190-000;" Corrego dos Gomes - Zona Rural";;;IAPU;"SL 4033";;;Lider
SES-ITRA-6896;19;37;36;43;13;47;skyware;35900-009;"Rua AGUA SANTA";" 22 REGIONAL ";" Centro";ITABIRA;"SL 4033";;;"SH Sat"
SES-JUIA-5755;14;29;13;44;12;56;skyware;39469-002;" AV.Uirapuru";" S/N ";" Zona Rural";JUVENÍLIA;"SL 4033";;;Lider
SES-MILA-4603;16;15;40;44;09;90;skyware;39420-000;"RUA: MUNIS PEREIRA DE ANDRADE N/81 - SÃO JOSE";;;MIRABELA;"SL 4033";;;"SH Sat"
