Nome;"Latitude Graus";"Latitude Minutos";"Latitude Segundos";"Longitude Graus";"Longitude Minutos";"Longitude Segundos";"Marca Antena";CEP;Endereco;Numero;Bairro;Cidade;ODU;BUC;"Marca Antena"
SES-ITRA-4016;19;37;19;43;12;47;skyware;35900-120;"RUA DAS MARGARIDAS 001";;;ITABIRA;"SL 4033";;
SES-ITRA-4017;19;38;47;43;13;50;skyware;35900-058;"RUA FABIO PIRES 271";;;ITABIRA;;;
SES-ITRI-3718;18;04;13;41;40;29;skyware;39830-000;"RUA JOSE LOPES PINHEIRO FREI SERAFIM ";" n32 ";" Zona Rural";ITAMBACURI;"SL 4033";"Satlink 4033";
SES-ITRI-4104;18;08;00;41;51;43;patriot;39830-00;" Distrito de Frei Serafim -  	Zona Rural ";;;ITAMBACURI;"SL 4033";;
SES-ITGI-4283;21;04;42;47;02;46;skyware;37955-000;"Francisco Campos 437 - centro";;;ITAMOGI;"SL 4033";;
SES-ITCA-4212;20;28;30;45;02;06;skyware;35550-000;"Rua Dona Cotinha";" S/nº";;ITAPECERICA;"SL 4033";;
SES-ITCA-4208;20;28;14;45;08;20;skyware;35550-000;"Rua Tavico Araujo";" 576";;ITAPECERICA;"SL 4033";;
SES-ITCA-4207;20;28;23;45;7;27;skyware;35550-000;"Rua Dr. Severo Rios";" 66";;ITAPECERICA;"SL 4033";;
SES-JORO-3660;17;43;49;46;11;29;skyware;38770000;"RUA VICENTE ANTONIO SOUZA ";" s/n ";" Bairro MANGABEIRAS";"JOÃO PINHEIRO";"SL 4033";;
SES-JORO-3661;17;43;49;46;11;29;skyware;38770000;"RUA ALOÍSIO NOGUEIRA JUNIOR ";" n45 ";" Bairro Santa Cruz";"JOÃO PINHEIRO";"SL 4033";"Satlink 4033";
SES-LAAL-0845;21;21;09;42;28;08;skyware;36760-000;"	RUA SEBASTIAO SOARES DA SILVEIRA";" S/N ";" CENTRO";LARANJAL;"SL 4033";;
SES-LENA-4074;21;33;59;42;35;25;skyware;36700-003;"Rua Principal";" s/n";;LEOPOLDINA;"SL 4033";;
SES-LENA-4072;21;35;28;42;28;58;skyware;36700-001;"Rua Floriano Peixoto";" s/n";;LEOPOLDINA;"SL 4033";;
SES-LENA-4071;21;31;31;42;38;21;skyware;36700-000;"Rua Antonio do Couto Silva Filho";" 60";;LEOPOLDINA;"SL 4033";;
SES-LENA-4070;21;32;06;42;38;42;skyware;36700-000;"Rua São Pedro";" 5";;LEOPOLDINA;"SL 4033";;
SES-LENA-4069;21;27;08;22;30;51;skyware;36700-000;"Av Aurelio Pimentel";" 20";;LEOPOLDINA;"SL 4033";;
SES-LENA-4067;21;31;48;42;39;06;skyware;36700-000;"Rua Sebastião Ferreira Lacerda ";" 20";;LEOPOLDINA;"SL 4033";;
SES-LENA-4066;21;31;39;42;38;42;skyware;36700-000;"Rua Padre Jose Gomes Domingues";" s/n";;LEOPOLDINA;"SL 4033";;
SES-LENA-4065;21;39;53;42;35;46;skyware;36700-000;"Rua Professor Carlos Franco";81;;LEOPOLDINA;"SL 4033";;
SES-LENA-4064;21;29;09;42;47;13;skyware;36700-000;"Rua Dr Jaoquim Dutra";" s/n";;LEOPOLDINA;"SL 4033";;
SES-LENA-4063;21;34;50;42;44;25;skyware;36700-000;"Rua Justiniano Fonseca";" 72";;LEOPOLDINA;;;
SES-LENA-4062;21;31;13;42;38;03;skyware;36700-000;"Avenida do Expedicionario";" 554";;LEOPOLDINA;"SL 4033";;
SES-LENA-4061;21;31;23;42;38;00;skyware;36700-000;"Rua Nilo Colono dos Santos";" 144";;LEOPOLDINA;"SL 4033";"Satlink 4033";
SES-LENA-4060;21;31;24;42;39;03;skyware;36700-000;"Rua Rafael Conrado";" s/n";;LEOPOLDINA;"SL 4033";;
SES-LENA-4059;21;32;11;42;39;01;skyware;36700-000;"Rua Antonio Fernandes Valentim";" s/n";;LEOPOLDINA;"SL 4033";;
SES-LENA-4058;21;30;43;42;37;56;skyware;36700-000;"Avenida dos Expedicionarios s/n";;;LEOPOLDINA;;"Satlink 4033";
SES-LENA-4057;21;32;16;42;38;31;skyware;36700-000;"Rua Benedito Valadares";" 52";;LEOPOLDINA;"SL 4033";;
SES-LENA-4056;21;32;04;42;38;16;skyware;36700-000;"Avenida Getulio Vargas";" 61";;LEOPOLDINA;"SL 4033";;
SES-MAFE-4252;22;18;17;45;12;46;skyware;37517-000;"DISTRITO PINTOS NEGREIROS";;;"MARIA DA FÉ";"SL 4033";;
SES-MAFE-4251;18;21;00;45;25;41;skyware;37517-000;"BAIRRRO SÃO JOÃO";;;"MARIA DA FÉ";"SL 4035";;
SES-MAFE-4249;22;19;09;45;19;32;skyware;37517-000;"BAIRRO POSSES ";;;"MARIA DA FÉ";"SL 4033";;
SES-MAFE-4248;22;18;25;45;22;47;skyware;37517-000;"RUA PREFEITO MANOEL GONÇALVES";" Nº 49";;"MARIA DA FÉ";"SL 4033";;
SES-MAIA-4253;19;38;05;42;37;20;skyware;35185-000;"Avenida Minas Gerais";" SN ";" Cava Grande";MARLIÉRIA;"SL 4033";;
SES-NAUE-3730;17;49;51;40;21;49;skyware;39860-000;"CAMILO SAID ";" n321 ";" Bairro Sete de Setembro";NANUQUE;"SL 4033";;
SES-NENO-4293;21;23;09;45;22;48;skyware;37250-000;"AV NECA FIRMINIANO 535 - MARCIOLANDIA";;;NEPOMUCENO;"SL 4033";;
SES-NENO-4292;21;22;09;45;24;09;skyware;37250-000;"RUA ALFREDO UNES N°15";"VILA MENEZES";;NEPOMUCENO;"SL 4033";;
SES-OLUA-3559;17;24;18;43;34;17;patriot;39398000;"Rua Diamantina";" n° 600 ";" Centro";OLHOS-D'ÁGUA;"SL 4033";;
"SES-OLRA-4218 ";20;42;27;44;49;50;skyware;35540-000;"Rua 25 de Dezembro";" 25 ";" Aparecida";OLIVEIRA;"SL 4033";;
"SES-OLRA-4219 ";20;41;59;44;49;36;skyware;35540-000;"Av. Pinheiro Chagas";" 110 ";" Centro";OLIVEIRA;"SL 4033";;
"SES-OLRA-4222 ";20;41;18;44;49;46;skyware;35540-000;"Rua Marília";" 215 ";" Rosário";OLIVEIRA;"SL 4033";;
"SES-OLRA-4228 ";20;48;13;44;48;46;skyware;35540-000;"Rua Orestes Diniz Cambraia";" 60 ";" São Sebastião";OLIVEIRA;"SL 4033";;
SES-OLRA-4227;20;41;38;44;49;57;patriot;35540-000;"Rua Benjamim Guimarães";" 1434";;OLIVEIRA;"SL 4033";;
SES-OLRA-4225;20;41;38;44;50;38;skyware;35540-000;"Rua Lambari";" 164";;OLIVEIRA;;;
SES-OLRA-4221;20;41;49;44;49;28;patriot;35540-000;"Rua Batista de Almeida";" 175";;OLIVEIRA;"SL 4033";;
SES-OLRA-4220;20;41;38;44;50;38;patriot;35540-000;" R: Benjamim Guimarães";" 230";;OLIVEIRA;"SL 4033";;
SES-OUTO-4030;20;24;17;43;29;49;skyware;35400-000;"Rua 03";" Nº30";;"OURO PRETO";"SL 4033";;
SES-OUTO-4031;20;24;30;43;31;35;skyware;35400-000;"Avenida Américo René Giannenetti";"N º1730";;"OURO PRETO";"SL 4033";"Satlink 4033";
SES-OUTO-4032;20;22;40;43;30;52;skyware;35400-000;"Rua Padre Rolim";S/Nº;;"OURO PRETO";"SL 4033";;
SES-OUTO-4033;20;22;32;43;39;05;patriot;35400-000;"Rua Rio de Janeiro";S/Nº;;"OURO PRETO";"SL 4033";"Satlink 4033";
SES-OUTO-4035;20;20;51;43;39;57;skyware;35410-000;"Rua turmalina";N/º28;;"OURO PRETO";"SL 4033";;
SES-OUTO-4036;20;18;39;43;42;38;skyware;35412-000;"Rua Santo Onofre";;;"OURO PRETO";"SL 4033";;
SES-PATU-4127;17;10;40;46;52;29;skyware;38600-000;"R. Etelvina Eliza Rezende";" 520";;PARACATU;"SL 4033";;
SES-PATU-4124;17;14;19;46;52;19;skyware;38600-000;"Rua Espírito Santo S/Nº";;;PARACATU;"SL 4033";;
SES-PATU-4123;17;13;59;46;52;47;skyware;38600-000;"Rua Ricardo Adjuto";" 377";;PARACATU;"SL 4033";"Satlink 4033";
SES-PAIO-3970;18;54;37;46;54;11;skyware;38740-000;"RUA: OTÁVIO DE BRITO";" S/N";;PATROCÍNIO;"SL 4033";"Satlink 4033";
SES-PAIO-3971;18;54;38;46;54;12;skyware;38740-000;"AV. JOAO ALVES DO NASCIMENTO";" 1452";;PATROCÍNIO;"SL 4033";;
SES-PEES-4234;21;05;25;45;05;18;skyware;37260-000;"RUA FLORIANO PEIXOTO";" 176";;PERDÕES;"SL 4033";;
SES-PIAU-3574;21;30;26;43;19;03;skyware;36157-000;"Praça Moacir Vales Lopes – Bairro Centro s/n.  ";;;PIAU;"SL 4033";;
SES-PICU-3576;22;52;40;45;49;43;skyware;37511-000;"Rua Braz Mariana";" 48 ";" Centro";PIRANGUÇU;"SL 4033";;
SES-PIUI-4128;19;41;42;44;54;12;skyware;35650-000;"Rua Onofre Máximo de Resende";" s/n";;PITANGUI;"SL 4033";;
SES-PIUI-4132;19;40;39;44;53;39;skyware;35650-000;"Rua José Januário Teixeira";" s/n ";;PITANGUI;"SL 4033";;
SES-PIUI-4131;19;41;22;44;53;58;patriot;35650-000;"Rua Professor Francisco Saldanha";" 120";;PITANGUI;"SL 4033";;
SES-PIHI-3887;20;30;42;46;05;13;skyware;37925-000;"Rua Antonio Pereira 17";;;PIUMHI;;;
SES-RIMA-4341;20;6;2;43;47;0;;34300-000;"Avenida Governador Israel Pinheiro";" S/N ";" Jatobá";"RIO ACIMA";;;
SES-RIMA-4340;20;05;13;43;47;33;skyware;34300-000;"Rua Jose Ribeiro";" 27 ";" centro";"RIO ACIMA";"SL 4033";;
SES-SARA-4053;21;31;39;42;38;42;skyware;34740-000;"TAVESSA CÂNDIDO LÚCIO FERREIRA";" S/N";;SABARÁ;"SL 4035";"Satlink 4033";
SES-SARA-4167;19;51;47;43;52;03;skyware;34600-650;" RUA SACRAMENTO";" S/N ";" BAIRRO 	NOSSA SENHORA DE FATIMA";SABARÁ;"SL 4033";;
SES-SARA-4170;19;49;49;43;50;32;;34650-200;" BR 381 KM 14 - BAIRRO 	BORBA GATO";;;SABARÁ;;;
SES-SAIA-3234;19;49;17;43;49;49;skyware;33070-070;"Rua Jequitibás 170 - Bom Destino";;;"SANTA LUZIA";"SL 4033";;
SES-SAIA-3239;19;46;35;43;53;50;skyware;33170-350;"Avenida Um";" 196 ";" Duquesa II";"SANTA LUZIA";"SL 4033";;
SES-SAMA-0918;20;19;00;42;36;30;patriot;35388-000;"RUA SANTA EFIGÊNCIA";" N 150 ";" Centro";"SANTO ANTÔNIO DO GRAMA";"SL 4033";;
SES-SAIA-0876;20;38;16;46;30;19;skyware;37920-000;"RUA SÃO PAULO 49  - Novo Horizonte";;;"SÃO JOÃO BATISTA DO GLÓRIA";"SL 4033";;
SES-SATA-0921;20;42;43;42;43;23;skyware;36590-000;"Rua Sebastião Pereira";" 625 ";" Centro";"SÃO MIGUEL DO ANTA";"SL 4033";;
SES-SAOS-3597;20;10;13;42;31;26;patriot;35360-000;"PRAÇA ARMANDO RIOS";" 16 ";" CENTRO";"SÃO PEDRO DOS FERROS";"SL 4033";;
SES-SANO-4286;20;47;06;47;05;58;skyware;37960-000;"Avenida Clemente Santana";" 175 ";" Centro";"SÃO TOMÁS DE AQUINO";"SL 4033";;
SES-SANO-4285;20;46;57;47;05;42;skyware;37960-000;"Rua Francisco Guerrieri";" 385 ";" Rosario";"SÃO TOMÁS DE AQUINO";"SL 4033";;
SES-SANO-4284;20;46;43;47;06;01;skyware;37960-000;"Avenida Clemente Santana";" 815 ";" Vila Nova";"SÃO TOMÁS DE AQUINO";"SL 4033";;
SES-SAAS-0792;21;41;51;44;26;42;patriot;37370-000;"Rua IRMAO ILIDIO GABRIEL";" 75 ";" COHAB.";"SÃO VICENTE DE MINAS";"SL 4033";;
SES-SAAS-4362;21;41;51;44;26;42;patriot;37370-000;"RUA IRMÃO ILÍDIO GABRIEL";" Nº 57";;"SÃO VICENTE DE MINAS";"SL 4033";;
SES-SAAS-4360;21;42;17;44;26;53;skyware;37370-000;"RUA PADRE TERTULIANO";" N º 150";;"SÃO VICENTE DE MINAS";"SL 4033";;
SES-SETA-0879;20;28;05;42;29;07;skyware;35368-000;"Rua Eliane Ferreira Cardoso";" 0 ";" Gomes Cardoso";SERICITA;"SL 4033";;
SES-SIIS-3600;22;28;04;45;24;16;skyware;37560-000;"	RUA VICENTE BENEDITO NOGUEIRA";" S/N ";" CENTRO";SILVIANÓPOLIS;"SL 4033";;
SES-TAIM-3603;19;16;55;42;00;18;skyware;35140-000;"Rua Plautino Soares";" 110";;TARUMIRIM;"SL 4033";;
SES-TENI-3677;17;52;18;41;29;19;skyware;39800-000;"Rua Domingos Alves Santana";" n200";;"TEÓFILO OTONI";;;
SES-VISA-0822;20;45;52;42;52;49;skyware;36570-000;"Rua José dos Santos";" 180 ";" Centro";VIÇOSA;"SL 4033";;
SES-ITGI-4280;21;04;18;47;03;16;skyware;37955-000;"Avenida Expoita";" 281 ";" Vale do Sol";ITAMOGI;"SL 4033";;
SES-NENO-4294;21;22;09;45;24;09;patriot;37250-000;"RUA DR. ERNANE VILELA LIMA 464 - CENTRO";;;NEPOMUCENO;"SL 4033";;
SES-NENO-4290;21;23;06;45;23;07;skyware;37250-000;"PRAÇA MARTINS PEREIRA 38";" CENTRO";;NEPOMUCENO;"SL 4033";;
SES-NENO-4291;21;23;09;45;23;07;skyware;37250-000;"RUA JOAO PEREIRA NETO 574";"SALGADO FILHO";;NEPOMUCENO;"SL 4033";;
SES-PEES-4230;21;05;55;45;04;45;skyware;37260-000;"RUA GUILHERMINA BRAGA";" 345";;PERDÕES;"SL 4033";;
SES-RIHO-0825;21;11;09;45;03;24;skyware;37264-000;"	Rua Miguel Rodrigues Patto";" 371  ";" Bela Vista";"RIBEIRÃO VERMELHO";"SL 4033";;
