Nome;"Latitude Graus";"Latitude Minutos";"Latitude Segundos";"Longitude Graus";"Longitude Minutos";"Longitude Segundos";"Marca Antena";CEP;Endereco;Numero;Bairro;Cidade;ODU;BUC;"Marca Antena"
SES-ALIS-3862;20;51;23;46;22;47;skyware;37940-000;"Rua Madre Assunção de Faria";" 172 ";" Vila Betania";ALPINÓPOLIS;"SL 4033";;
SES-ALBA-0828;20;25;26;41;57;59;skyware;36976-000;"Rua Maria Virginia da Conceição";" 0 ";" Centro";"ALTO JEQUITIBÁ";"SL 4033";;
SES-ALGA-0936;19;38;05;42;37;20;skyware;35249-000;"  Av do contorno";" 36 ";" Bairro Nossa Senhora as Graças";ALVARENGA;"SL 4033";;
SES-AMRA-0888;20;30;28;42;48;06;skyware;35444-000;"praça Dr João Pinheiro";" 65 ";" Centro";"AMPARO DO SERRA";"SL 4033";"Satlink 4033";
SES-ANIA-3670;17;36;08;42;09;45;skyware;39685-000;"CÓRREGO SÃO BENEDITO ";" s/n ";" Zona Rural";ANGELÂNDIA;"SL 4033";"Satlink 4033";
SES-BAIS-3742;19;56;21;43;28;38;skyware;35970000;"RUA DR. MOURA MONTEIRO";" n225 ";"Bairro Vila Regina";"BARÃO DE COCAIS";"SL 4033";"Satlink 4033";
SES-BAIS-3739;19;55;49;43;29;06;skyware;35970-000;"RUA TANCREDO NEVES ";" n 376 ";" Bairro LEAO XIII";"BARÃO DE COCAIS";"SL 4033";;
SES-BAIS-3736;19;57;08;43;28;59;skyware;35970-000;"Rua Seleciano Luiz Lopes";" 74 ";" CAPIM CHEIROSO";"BARÃO DE COCAIS";"SL 4033";;
SES-BATO-0837;21;14;07;42;14;22;skyware;36870-000;"Rua Antonio Nunes";" 0 ";" Centro";"BARÃO DE MONTE ALTO";;;
SES-BANA-3628;21;15;27;43;48;25;patriot;36201-142;"Alameda Rocha Lagoa ";" 3200";;BARBACENA;"SL 4033";;
SES-BANA-3616;21;13;12;43;45;09;skyware;36205-336;"Rua Ito Américo Azevedo";" s/n";;BARBACENA;"SL 4033";;
SES-BANA-3618;21;13;35;43;44;43;skyware;36205-526;"Rua Basílio de Moraes s/n";;;BARBACENA;"SL 4033";;
SES-BOSO-4152;22;28;09;45;08;54;skyware;37610-000;"RUA DA SAUDE";" 50 ";" CENTRO";"BOM REPOUSO";"SL 4033";;
SES-CAOS-4153;19;41;43;46;10;31;skyware;38970-000;"Avenida Jose Bueno de Paula";"220 ";" Nossa Senhora Aparecida";"CAMPOS ALTOS";"SL 4033";;
SES-CAOS-4155;19;42;19;46;10;39;skyware;38970-000;" Avenida Rute Falco";638;;"CAMPOS ALTOS";"SL 4033";;
SES-CAIS-3515;18;40;59;49;33;55;skyware;38360-000;"Av. 115A";" 100";;CAPINÓPOLIS;"SL 4033";;
SES-CABU-0949;21;57;50;44;55;49;skyware;37440-000;"Rua Mario Milward";" 283";;CAXAMBU;;;
SES-CLAL-4084;20;20;01;47;13;24;patriot;37997-000;" 	FAZENDA PORTEIRA DA PEDRA";" S/N ";"  	PORTEIRA DA PEDRA";CLARAVAL;"SL 4033";;
SES-CLAL-4082;20;24;03;47;17;13;skyware;37997-000;" 	RUA JOAQUIM PLACIDO BARBOSA";"303 ";" Centro";CLARAVAL;"SL 4033";;
SES-CLAL-4083;20;24;08;47;17;02;skyware;37997-000;" 	RUA DOZE DE DEZEMBRO";" S/N ";" crentro";CLARAVAL;"SL 4033";;
"SES-DINO-4180 ";20;36;13;42;08;29;skyware;36820-000;"RUA ATRATINO VITOR DE OLIVEIRA";" 257 ";" GIVISIEZ ";DIVINO;"SL 4033";"Satlink 4033";
SES-DOIS-4086;20;17;18;45;54;12;skyware;37926-000;"Rua Higino Pinto Vidal S/N.º - Centro";;;DORESÓPOLIS;"SL 4033";;
SES-DOIS-4085;20;17;22;45;54;10;skyware;37926-000;" Rua dois n.º 45 - Centro";;;DORESÓPOLIS;"SL 4033";;
SES-ENAS-3267;19;12;10;42;2;31;skyware;35130-000;"Rua Prefeito Divino Paulino de Oliveira";" 205 ";" Jose Ernesto";"ENGENHEIRO CALDAS";"SL 4033";"Satlink 4033";
SES-ENAS-4087;19;12;09;42;02;32;patriot;35130-000;" 	R Divino Paulino de Oliveira";" n 225";"  	JOSÉ ERNESTO";"ENGENHEIRO CALDAS";"SL 4033";;
SES-FAOS-3318;20;48;13;42;48;57;skyware;36840-000;"RUA: JOSÉ DITTIZ";" nº 320 ";" Centro";"FARIA LEMOS";"SL 4033";;
SES-FEOS-4391;18;01;20;43;14;33;skyware;39180-000;"Rua do Campo S/N";" Zona Rural";;"FELÍCIO DOS SANTOS";"SL 4033";;
SES-FEOS-4390;18;04;39;43;14;53;skyware;39180-000;"Rua Antônio Jorge";18;;"FELÍCIO DOS SANTOS";"SL 4033";;
SES-FRAL-4198;20;02;06;48;55;41;skyware;38200-000;"Rua Uberlândia";" 1793";;FRUTAL;"SL 4033";;
SES-FRAL-4194;20;01;11;48;55;20;skyware;38200-000;"Avenida Brasilia";" 0333";;FRUTAL;"SL 4033";;
SES-FRAL-4197;20;00;53;48;56;05;skyware;38200-000;"Rua José Vilela Magalhães";" 100";;FRUTAL;"SL 4033";;
SES-FRAL-4196;20;01;17;48;55;05;skyware;38200-000;"Rua João Lacerda";" 330";;FRUTAL;"SL 4033";;
SES-FRAL-4201;20;01;01;48;55;12;skyware;38200-000;"Avenida Brasilia";" 777 ";" Novo Horizonte";FRUTAL;"SL 4033";;
"SES-FRAL-4200 ";20;01;31;48;55;16;skyware;38200-000;"Rua Uberlândia";" 521 ";" Progresso";FRUTAL;"SL 4033";;
SES-GOEA-4377;18;27;34;43;44;19;patriot;39120-000;"Praça da saudade - nº 9";;;GOUVÊA;"SL 4033";;
SES-GOEA-4376;18;27;02;43;44;25;skyware;39120-000;"Rua dos Alves 258";;;GOUVÊA;"SL 4033";"Satlink 4033";
SES-GOEA-4375;18;27;18;43;44;24;skyware;39120-000;"Rua Consuelo Falci nº ";;;GOUVÊA;"SL 4033";;
SES-GUNI-0903;21;21;29;43;03;31;skyware;36160-000;"RUA JOSINO DIAS MOREIRA";" S/N";;GUARANI;"SL 4033";;
SES-ITRA-3998;19;37;56;43;12;22;skyware;35900-270;"RUA JOAO CAMILO DE OLIVEIRA TORRES 1172";;;ITABIRA;"SL 4033";;
SES-ITRA-3999;19;37;01;43;12;47;skyware;35900-088;"RUA MARTITA 36 - CAMPESTRE";;;ITABIRA;"SL 4033";;
SES-ITRA-4001;19;37;03;43;12;34;skyware;35900-076;" 	RUA PROFESSOR MAX D´ CAUX 80 - BELA VISTA";;;ITABIRA;"SL 4033";"Satlink 4033";
SES-ITRA-4003;19;38;13;43;14;06;skyware;35900-400;"RUA MARMORE 178";;;ITABIRA;"SL 4033";;
SES-ITRA-4004;19;37;14;43;12;13;skyware;35900-180;"RUA CINCO 207";;;ITABIRA;"SL 4033";;
SES-ITRA-4005;19;38;20;43;14;13;skyware;35900-367;"AV BRASIL 50 - AREAO";;;ITABIRA;"SL 4033";;
SES-ITRA-4006;19;37;42;43;12;33;skyware;35900-161;"RUA OURO PRETO 560";;;ITABIRA;"SL 4033";;
SES-ITRA-4007;19;38;36;43;13;12;patriot;35900-455;"RUA MARECHAL JOFRE 001";;;ITABIRA;"SL 4033";;
SES-ITRA-4009;19;37;52;43;12;56;skyware;35900-186;"RUA ITAGUARA 56";;;ITABIRA;"SL 4033";;
SES-ITRA-4010;19;38;53;43;13;07;skyware;35900-474;"RUA JORDÂNIA";" 173 ";" Bethania";ITABIRA;"SL 4033";;
SES-ITRA-4011;19;39;14;43;14;02;skyware;35901-226;"Rua José Hidenburgo Gonçalves";80;;ITABIRA;"SL 4033";"Satlink 4033";
SES-ITRA-4014;19;38;02;43;13;51;skyware;35900-012;"Rua urânio";" 19 ";" MAJOR LAGE";ITABIRA;;;
