Nome;"Latitude Graus";"Latitude Minutos";"Latitude Segundos";"Longitude Graus";"Longitude Minutos";"Longitude Segundos";"Marca Antena";CEP;Endereco;Numero;Bairro;Cidade;ODU;BUC;"Marca Antena";Empresa
SES-DIVA-0860;21;30;40;46;11;51;skyware;37134-000;"Praça GOVERNADOR VALADARES";" 0 ";" CENTRO";"DIVISA NOVA";"SL 4033";;;Lider
SES-LASA-0908;18;46;30;46;24;30;skyware;38720-000;"RUA DEOCLECIANO MUNDIM - ";;;"LAGOA FORMOSA";"SL 4033";;;Lider
SES-TIOS-0882;19;00;15;45;57;52;skyware;38880-000;"AV. JOSE BOMTEMPO - ";;;TIROS;"SL 4033";;;Lider
SES-BEIM-3795;19;55;40;44;06;07;skyware;32678-325;"Av. Nova YorK ";"341 ";" Bairro Capelinha";BETIM;"SL 4033";;;Vodanet
SES-SERE-3657;19;06;44;46;40;56;skyware;38760000;"RUA PETUNIA ";" n 211 ";" Centro";"SERRA DO SALITRE";"SL 4033";;;Lider
SES-VATE-0801;17;59;33;46;54;01;skyware;38780-000;"AV CASTELO BRANCO";" 170";;VAZANTE;"SL 4033";;;Lider
SES-SEAS-0880;15;48;44;42;52;19;skyware;39522-000;"José Mendes Teixeira nº 22- Centro";;;"SERRANÓPOLIS DE MINAS";"SL 4033";;;Lider
SES-PRIS-0914;20;44;43;46;51;22;skyware;37970-000;"- RUA PALMEIRAS";" 860 ";;PRATÁPOLIS;"SL 4033";;;Lider
SES-SATA-0919;18;33;04;42;45;58;skyware;39705-000;"avenida Primeiro de Junho";" 1482 ";" Centro";"SÃO JOÃO EVANGELISTA";"SL 4033";;;Lider
SES-CAAS-0943;21;55;26;46;22;56;skyware;37780-000;"RUA RIBEIRÃO DOS BUGRES";" 20  ";" BAIRRO NOSSA SENHORA DAS GRAÇAS";CALDAS;"SL 4033";;;Lider
SES-POTE-3580;17;48;10;41;47;07;skyware;39827-000;"	RUA SETE DE DETEMBRO";" 192";;POTÉ;"SL 4033";;;Lider
SES-TENI-3687;17;57;42;41;32;15;skyware;39800000;"Rua Principal";" n218/ BR 116 KM 289 ";" Zona Rural";"TEÓFILO OTONI";;;;Lider
SES-ITRI-3717;18;16;34;41;52;53;skyware;39830000;"DISTRITO DE GUARATAIA ";" n2750 ";" ZONA RURAL";ITAMBACURI;;;;Lider
SES-LAAR-3653;18;10;41;46;48;23;skyware;38785000;"RUA ITUIUTABA ";" n64 ";" CENTRO";LAGAMAR;"SL 4033";;;Lider
SES-BEIM-3797;19;56;24;44;06;51;skyware;32677-518;"Av. Sanitaria";"300 ";" Bairro Jardim Perla";BETIM;"SL 4033";;;Vodanet
SES-BEIM-3788;19;56;17;44;03;51;skyware;32611-076;"Rua Pyrá";"80 ";" Bairro Icaivera";BETIM;"SL 4033";;;Vodanet
SES-BEIM-3787;19;50;24;44;09;05;skyware;32611-220;"Rua Opequira";"274 ";" Parque do Cedro";BETIM;"SL 4033";;;Vodanet
SES-BEIM-3836;19;55;08;44;16;38;skyware;32623-245;"Rodovia MG060 Km3";188;;BETIM;"SL 4033";;;Vodanet
SES-SARA-3877;19;51;39;43;51;47;skyware;34585-140;"RUA RIO VERDE";" 70 ";" NOSSA SENHRA DE FATIMA";SABARÁ;"SL 4033";;;Lider
SES-MACU-3937;20;14;30;42;02;28;skyware;36900-000;"Av. Nações Unidas";" 265";;MANHUAÇU;"SL 4033";;;Lider
SES-MACU-3924;20;14;28;42;02;26;skyware;36900-000;"Rua Judith Alves";" 141";;MANHUAÇU;"SL 4033";;;Lider
SES-BOCA-3910;21;06;58;45;33;24;skyware;37170-000;"Rua Tônico Rodrigues";" 900";;"BOA ESPERANÇA";;;;Lider
SES-BOCA-3912;21;04;19;45;34;15;skyware;37170-000;"Rua Ulisses José dos Santos";;;"BOA ESPERANÇA";"SL 4033";;;Lider
SES-BEIS-3206;18;40;31;42;46;28;skyware;39875-000;"RUA BERTO GONÇALVES";" 207.";;BERTÓPOLIS;"SL 4033";;;Lider
SES-GOGA-3323;18;49;32;42;28;48;skyware;39720-000;"AV PRESIDENTE KENEDY";" 73 ";" Centro";GONZAGA;;;;Lider
SES-PAAS-3570;18;25;49;42;52;00;skyware;39765-000;"Rua Herculano Ferreira da Mata";" 182";;PAULISTAS;"SL 4033";;;Lider
SES-GUES-3757;18;40;31;42;46;28;skyware;39740000;"RUA PRINCIPAL ";" n265 ";" Centro";GUANHÃES;"SL 4033";;;Lider
SES-ALIS-3863;20;51;58;46;23;25;skyware;37940000;"Rua Espírito Santo";" 248";;ALPINÓPOLIS;;;;Lider
SES-ALIS-3864;20;51;48;46;23;22;skyware;37940000;"Rua Major João Goncalves";" 60";;ALPINÓPOLIS;"SL 4033";;;Lider
SES-ALIS-3865;20;51;52;46;23;23;skyware;37940000;"Praça Osvaldo Américo dos Reis";38;;ALPINÓPOLIS;;;;Lider
SES-MACU-3929;20;14;29;42;05;03;skyware;36900-000;"Rua São José";" 147";;MANHUAÇU;"SL 4033";;;Lider
SES-MACU-3926;20;15;39;42;01;57;skyware;36900-000;"Avenida 30 de Março";" s/n.";;MANHUAÇU;;;;Lider
SES-MACU-3925;20;15;30;42;01;48;skyware;36900-000;"Rua Mascarenhas de Moraes";" 92";;MANHUAÇU;"SL 4033";;;Lider
SES-BOTA-3917;22;16;34;46;09;49;skyware;37564-000;"RUA HERCULANO COBRA";" 745";;"BORDA DA MATA";;;;Lider
SES-BOCA-3911;21;04;56;45;34;36;skyware;37170-000;"Rua Ceará";" 210";;"BOA ESPERANÇA";"SL 4033";;;Lider
SES-MACU-3942;20;15;58;42;01;48;skyware;36900-000;"Rua Frederico Dolabela";" s/n ";;MANHUAÇU;"SL 4033";;;Lider
SES-MACU-3941;20;14;37;42;01;29;skyware;36900-000;" 	Rua Coronel Afonso Henrique de Albuquerque";" 287 ";;MANHUAÇU;;;;Lider
